COOK METHODS,Site,Cook Shifts,4 Shifts Before,3 Shifts Before,2 Shifts Before,1 Shift Before,Same Day/Shift
BRAISER,AUR,1,,,,STAGING,BRAISER
BRAISER,AG,1,,,,STAGING,BRAISER
BRAISER,BR,1,,,,STAGING,BRAISER
BRAISER/GRILL/MIXER/OVEN/PATTY MAKER,AUR,3,,STAGING,MIXER,PATTY MAKER,GRILL/OVEN/BRAISER
BRAISER/GRILL/MIXER/OVEN/PATTY MAKER,AG,3,,STAGING,MIXER,PATTY MAKER,GRILL/OVEN/BRAISER
BRAISER/MIXER/SCOOP,AUR,1,,,,STAGING,BRAISER/MIXER/SCOOP
BRAISER/MIXER/SCOOP,AG,1,,,,STAGING,BRAISER/MIXER/SCOOP
BRAISER/MIXER/SCOOP,BR,1,,,,STAGING,BRAISER/MIXER/SCOOP
BRAISER/MIXER/SCOOP (BUTTER),AUR,1,,,,STAGING,BRAISER/MIXER/SCOOP (BUTTER)
BRAISER/MIXER/SCOOP (BUTTER),AG,1,,,,STAGING,BRAISER/MIXER/SCOOP (BUTTER)
BRAISER/MIXER/SCOOP (BUTTER),BR,1,,,,STAGING,BRAISER/MIXER/SCOOP (BUTTER)
BRAISER/MIXER/SCOOPER (BUTTER),AUR,1,,,,STAGING,BRAISER/MIXER/SCOOPER (BUTTER)
BRAISER/MIXER/SCOOPER (BUTTER),AG,1,,,,STAGING,BRAISER/MIXER/SCOOPER (BUTTER)
BRAISER/MIXER/SCOOPER (BUTTER),BR,1,,,,STAGING,BRAISER/MIXER/SCOOPER (BUTTER)
BRAISER/OVEN,AUR,1,,,,STAGING,BRAISER/OVEN
BRAISER/OVEN,AG,1,,,,STAGING,BRAISER/OVEN
BRAISER/OVEN,BR,1,,,,STAGING,BRAISER/OVEN
BRAISER/OVEN/MIXER/SCOOP,AUR,3,,STAGING,BRAISER/OVEN,MIXER,SCOOP
BRAISER/OVEN/MIXER/SCOOP,AG,3,,STAGING,BRAISER/OVEN,MIXER,SCOOP
BRAISER/OVEN/MIXER/SCOOP,BR,3,,STAGING,BRAISER/OVEN,MIXER,SCOOP
BRAISER/OVEN/PRODUCTION,AUR,1,,,,STAGING,BRAISER/OVEN/PRODUCTION
BRAISER/OVEN/PRODUCTION,AG,1,,,,STAGING,BRAISER/OVEN/PRODUCTION
BRAISER/OVEN/PRODUCTION,BR,1,,,,STAGING,BRAISER/OVEN/PRODUCTION
BRAISER/PRODUCTION,AUR,1,,,,STAGING,BRAISER/PRODUCTION
BRAISER/PRODUCTION,AG,1,,,,STAGING,BRAISER/PRODUCTION
BRAISER/PRODUCTION,BR,1,,,,STAGING,BRAISER/PRODUCTION
SHREDDER/OVEN/BRAISER,AUR,2,,,STAGING,BRAISER/OVEN,SHREDDER
SHREDDER/OVEN/BRAISER,AG,2,,,STAGING,BRAISER/OVEN,SHREDDER
SHREDDER/OVEN/BRAISER,BR,2,,,STAGING,BRAISER/OVEN,SHREDDER
BRINE/GRILL/OVEN,AUR,2,,,STAGING,BRINE,GRILL/OVEN
BRINE/GRILL/OVEN,AG,2,,,STAGING,BRINE,GRILL/OVEN
BRINE/MARINADE/AUTO COOK LINE,AG,2,,,STAGING,BRINE/MARINADE,AUTO COOK LINE
BRINE/MARINADE/ACL,AG,2,,,STAGING,BRINE/MARINADE,ACL
BRINE/MARINADE/BRAISER/OVEN/SHREDDER,AUR,2,,,STAGING,BRINE/MARINADE,BRAISER/OVEN/SHREDDER
BRINE/MARINADE/BRAISER/OVEN/SHREDDER,AG,2,,,STAGING,BRINE/MARINADE,BRAISER/OVEN/SHREDDER
BRINE/MARINADE/BRAISER/OVEN/SHREDDER,BR,2,,,STAGING,BRINE/MARINADE,BRAISER/OVEN/SHREDDER
BRINE/MARINADE/GRILL/OVEN,AUR,2,,,STAGING,BRINE/MARINADE,GRILL/OVEN
BRINE/MARINADE/GRILL/OVEN,AG,2,,,STAGING,BRINE/MARINADE,GRILL/OVEN
BRINE/MARINADE/GRILL/OVEN/SLICER,AUR,3,,STAGING,BRINE/MARINADE,GRILL/OVEN,SLICER
BRINE/MARINADE/GRILL/OVEN/SLICER,AG,3,,STAGING,BRINE/MARINADE,GRILL/OVEN,SLICER
BRINE/MARINADE/MIXER/GRILL/OVEN,AUR,3,,STAGING,BRINE/MARINADE,MIXER,GRILL/OVEN
BRINE/MARINADE/MIXER/GRILL/OVEN,AG,3,,STAGING,BRINE/MARINADE,MIXER,GRILL/OVEN
BRINE/MARINADE/MIXER/OVEN,AUR,2,,,STAGING,BRINE/MARINADE,MIXER/OVEN
BRINE/MARINADE/MIXER/OVEN,AG,2,,,STAGING,BRINE/MARINADE,MIXER/OVEN
BRINE/MARINADE/MIXER/OVEN,BR,2,,,STAGING,BRINE/MARINADE,MIXER/OVEN
BRINE/MARINADE/OVEN,AUR,2,,,STAGING,BRINE/MARINADE,OVEN
BRINE/MARINADE/OVEN,AG,2,,,STAGING,BRINE/MARINADE,OVEN
BRINE/MARINADE/OVEN,BR,2,,,STAGING,BRINE/MARINADE,OVEN
BRINE/MARINADE/OVEN/SHREDDER,AUR,2,,,STAGING,BRINE/MARINADE,OVEN/SHREDDER
BRINE/MARINADE/OVEN/SHREDDER,AG,2,,,STAGING,BRINE/MARINADE,OVEN/SHREDDER
BRINE/MARINADE/OVEN/SHREDDER,BR,2,,,STAGING,BRINE/MARINADE,OVEN/SHREDDER
COLD MIX,AUR,1,,,,STAGING,COLD MIX
COLD MIX,AG,1,,,,STAGING,COLD MIX
COLD MIX,BR,1,,,,STAGING,COLD MIX
HAND MIX,AUR,1,,,,STAGING,HAND MIX
HAND MIX,AG,1,,,,STAGING,HAND MIX
HAND MIX,BR,1,,,,STAGING,HAND MIX
COLD MIX/MIXER,AUR,1,,,,STAGING,MIXER/COLD MIX
COLD MIX/MIXER,AG,1,,,,STAGING,MIXER/COLD MIX
COLD MIX/MIXER,BR,1,,,,STAGING,MIXER/COLD MIX
HAND MIX/MIXER,AUR,1,,,,STAGING,MIXER/HAND MIX
HAND MIX/MIXER,AG,1,,,,STAGING,MIXER/HAND MIX
HAND MIX/MIXER,BR,1,,,,STAGING,MIXER/HAND MIX
CUP MACHINE,AUR,1,,,,STAGING,CUP MACHINE
CUP MACHINE,AG,1,,,,STAGING,CUP MACHINE
CUP MACHINE,BR,1,,,,STAGING,CUP MACHINE
CUPPING,AUR,1,,,,STAGING,CUPPING
CUPPING,AG,1,,,,STAGING,CUPPING
CUPPING,BR,1,,,,STAGING,CUPPING
PRODUCTION/CUP MACHINE,AUR,1,,,,STAGING,PRODUCTION/CUP MACHINE
PRODUCTION/CUP MACHINE,AG,1,,,,STAGING,PRODUCTION/CUP MACHINE
PRODUCTION/CUP MACHINE,BR,1,,,,STAGING,PRODUCTION/CUP MACHINE
PRODUCTION/CUPPING,AUR,1,,,,STAGING,PRODUCTION/CUPPING
PRODUCTION/CUPPING,AG,1,,,,STAGING,PRODUCTION/CUPPING
PRODUCTION/CUPPING,BR,1,,,,STAGING,PRODUCTION/CUPPING
BRAISER/CUP MACHINE,AUR,2,,,STAGING,BRAISER,CUP MACHINE
BRAISER/CUP MACHINE,AG,2,,,STAGING,BRAISER,CUP MACHINE
BRAISER/CUP MACHINE,BR,2,,,STAGING,BRAISER,CUP MACHINE
BRAISER/CUPPING,AUR,2,,,STAGING,BRAISER,CUPPING
BRAISER/CUPPING,AG,2,,,STAGING,BRAISER,CUPPING
BRAISER/CUPPING,BR,2,,,STAGING,BRAISER,CUPPING
BRAISER/OVEN/CUP MACHINE,AUR,1,,,,STAGING,BRAISER/OVEN/CUP MACHINE
BRAISER/OVEN/CUP MACHINE,AG,1,,,,STAGING,BRAISER/OVEN/CUP MACHINE
BRAISER/OVEN/CUP MACHINE,BR,1,,,,STAGING,BRAISER/OVEN/CUP MACHINE
BRAISER/OVEN/CUPPING,AUR,1,,,,STAGING,BRAISER/OVEN/CUPPING
BRAISER/OVEN/CUPPING,AG,1,,,,STAGING,BRAISER/OVEN/CUPPING
BRAISER/OVEN/CUPPING,BR,1,,,,STAGING,BRAISER/OVEN/CUPPING
MIXER/CUP MACHINE,AUR,2,,,STAGING,MIXER,CUP MACHINE
MIXER/CUP MACHINE,AG,2,,,STAGING,MIXER,CUP MACHINE
MIXER/CUP MACHINE,BR,2,,,STAGING,MIXER,CUP MACHINE
MIXER/CUPPING,AUR,2,,,STAGING,MIXER,CUPPING
MIXER/CUPPING,AG,2,,,STAGING,MIXER,CUPPING
MIXER/CUPPING,BR,2,,,STAGING,MIXER,CUPPING
MIXER/BRAISER/CUP MACHINE,AUR,2,,,STAGING,BRAISER/MIXER,CUP MACHINE
MIXER/BRAISER/CUP MACHINE,AG,2,,,STAGING,BRAISER/MIXER,CUP MACHINE
MIXER/BRAISER/CUP MACHINE,BR,2,,,STAGING,BRAISER/MIXER,CUP MACHINE
MIXER/BRAISER/CUPPING,AUR,2,,,STAGING,BRAISER/MIXER,CUPPING
MIXER/BRAISER/CUPPING,AG,2,,,STAGING,BRAISER/MIXER,CUPPING
MIXER/BRAISER/CUPPING,BR,2,,,STAGING,BRAISER/MIXER,CUPPING
OVEN/CUP MACHINE,AUR,1,,,,STAGING,OVEN/CUP MACHINE
OVEN/CUP MACHINE,AG,1,,,,STAGING,OVEN/CUP MACHINE
OVEN/CUP MACHINE,BR,1,,,,STAGING,OVEN/CUP MACHINE
OVEN/CUPPING,AUR,1,,,,STAGING,OVEN/CUPPING
OVEN/CUPPING,AG,1,,,,STAGING,OVEN/CUPPING
OVEN/CUPPING,BR,1,,,,STAGING,OVEN/CUPPING
BRAISER/GRILL/OVEN/MARINADE,AUR,2,,,STAGING,BRAISER/MARINADE,GRILL/OVEN
BRAISER/GRILL/OVEN/MARINADE,AG,2,,,STAGING,BRAISER/MARINADE,GRILL/OVEN
