Recipe Name,Recipe Code,Sub-Recipe 1 Name,Sub-Recipe 2 Name,Sub-Recipe 3 Name,Ingredient,Ingredient ID,Ingredient Category,Gross Quantity,UOM
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,Chicken breast - Herb Grilled Chicken Breast,Chicken Breast - BRINED 160g,,"FA-DE Chicken, Breast, B/S - 160g/Hähnchen, Brust, B/S – 160 g",PTN-00-139317-3,PTN,160,grams
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,Chicken breast - Herb Grilled Chicken Breast,Chicken Breast - BRINED 160g,,FA-DE Water / Wasser,OTH-00-144038-5,OTH,160,grams
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,Chicken breast - Herb Grilled Chicken Breast,Chicken Breast - BRINED 160g,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,1.41,grams
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,Chicken breast - Herb Grilled Chicken Breast,Herb marinade for Herb grilled Chicken Breast,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,0.12,grams
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,Chicken breast - Herb Grilled Chicken Breast,Herb marinade for Herb grilled Chicken Breast,,"FA-DE Spice, Italian Seasoning /Gewürze, italienische Gewürze",SPI-00-139359-5,SPI,0.12,grams
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,Chicken breast - Herb Grilled Chicken Breast,Herb marinade for Herb grilled Chicken Breast,Roasted Garlic oil,"FA-DE Garlic, Peeled, Whole Cloves [10kg] /Knoblauch, geschält, ganze Nelken [10kg]",PHF-00-139197-3,PHF,8.29,grams
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,Chicken breast - Herb Grilled Chicken Breast,Herb marinade for Herb grilled Chicken Breast,Roasted Garlic oil,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,6.22,grams
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,Green beans - MCTWR Roasted Garlic Green Beans,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,SPI,0.11,grams
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,Green beans - MCTWR Roasted Garlic Green Beans,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,0.51,grams
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,Green beans - MCTWR Roasted Garlic Green Beans,Roasted Garlic oil,,"FA-DE Garlic, Peeled, Whole Cloves [10kg] /Knoblauch, geschält, ganze Nelken [10kg]",PHF-00-139197-3,PHF,4.19,grams
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,Green beans - MCTWR Roasted Garlic Green Beans,Roasted Garlic oil,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,3.14,grams
