Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,R,1,portions,Rice - MCTWR Cheesy Creamy Wild Rice Blend Batch,S,,140,grams,,SUB-013858-4-001,HAND MIX / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
140g creamy wild rice
1 ea / 100g chicken
50g roasted sliced mushroom

2ND COMPARTMENT
110g green beans

NET WEIGHT = 400g",MILCH (EINSCHLIESSLICH LAKTOSE),,0.99992,,,,,,,0.30865,4.93875,0.30867,PCK-00-151923-5,Main,
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,R,1,portions,Chicken breast - Herb Grilled Chicken Breast,S,,1,each,,SUB-013545-4-001,MARINADE / GRILL / OVEN / BLAST CHILLER,,,,0.72185,,,,,,4.23288,0.26455,5.86395,0.3665,PCK-00-151923-5,Main,
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,R,1,portions,Mushrooms - MCTWR Roasted Sliced Mushrooms,S,,50,grams,,SUB-013859-4-001,OVEN / BLAST CHILLER,,SCHWEFELDIOXIDE UND SULFITE,,0.55013,,,,,,,0.11023,3.20598,0.20037,PCK-00-151923-5,Main,
FE0628B - Mushroom Chicken & Wild Rice [DKSE],REC-013861-4-003,R,1,portions,Green beans - MCTWR Roasted Garlic Green Beans,S,,110,grams,,SUB-013860-4-001,OVEN / BLAST CHILLER,,,,0.76973,,,,,,,0.24251,5.04094,0.31506,PCK-00-151923-5,2nd,

FV0024A - Chicken in tomato cream sauce [DKSE],REC-013938-4-006,R,1,portions,Sauce - Sun-Dried Tomato Sauce - Less Salt,S,,140,grams,,SUB-013571-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
tomato cream sauce =  140g
chicken = 1 EA 160g raw, 120g cooked

","MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE",,0.88017,1,SCOOP,white,LEVEL,,,0.30865,5.61072,0.35067,PCK-00-151923-5,Main,
FV0024A - Chicken in tomato cream sauce [DKSE],REC-013938-4-006,R,1,portions,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,S,,1,each,,SUB-013572-4-001,MARINADE / GRILL / OVEN / BLAST CHILLER,,,,0.7011,1,HAND_PORTIONED,Hand Portioned,,,4.23288,0.26455,6.0375,0.37734,PCK-00-151923-5,Main,
FV0024A - Chicken in tomato cream sauce [DKSE],REC-013938-4-006,R,1,portions,Cooked Courgette Noodles - No Salt,S,,100,grams,,SUB-013573-4-001,HAND MARINADE / OVEN / BLAST CHILLER,"2ND COMPARTMENT
Zucchini noodles -  100g

NET WEIGHT: 360g",,,0.68363,1,SCOOP,grey,NATURAL,,,0.22046,5.15981,0.32249,PCK-00-151923-5,2nd,

FV0035A - Salmon with pesto [DKSE],REC-013940-4-004,R,1,portions,Spinach - Creamed Spinach,S,,115,grams,,SUB-013867-4-001,HAND MIX / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
115g = creamed spinach 
1 EA (119g cooked)  = salmon 
30g (black scoop) = pesto sauce

 

NET WEIGHT: 361g","MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE",,0.84,1,SCOOP,grey,LEVEL,,,0.25353,4.82918,0.30182,PCK-00-151923-5,Main,
