Bereich	Zugänge_kg	Bewegungen_kg	Differenz_kg	NETTO_kg	Kategorie
DEBOXWIP	39.00	2842806.74	-2842767.74	-2842767.74	Prep/Plating
UNBEKANNT	213006.00	0.00	213006.00	213006.00	Andere
STGDR-85	133112.00	0.00	133112.00	133112.00	Lager
FAHABAYEBM	120000.00	0.00	120000.00	120000.00	Andere
PLH-02-15	236009.00	118000.00	118009.00	118009.00	Fulfillment
PLH-02-16	120185.00	60097.00	60088.00	60088.00	Fulfillment
FAWAHIDM	49435.50	0.00	49435.50	49435.50	Andere
A-02-64-2	40000.00	0.00	40000.00	40000.00	Andere
FAELMIE	32208.00	0.00	32208.00	32208.00	Andere
FAFURMANNB	18269.00	0.00	18269.00	18269.00	Andere
FASCHRADERS	17114.00	0.00	17114.00	17114.00	Andere
FAWIEGHOLDD	14592.00	0.00	14592.00	14592.00	Andere
STGDR-30	14320.00	0.00	14320.00	14320.00	Lager
STGDR-27	14006.00	0.00	14006.00	14006.00	Lager
FASADEKM	13934.00	0.00	13934.00	13934.00	Andere
PLATING-LINE-01	11040.00	0.00	11040.00	11040.00	Prep/Plating
STGDR-29	10523.00	0.00	10523.00	10523.00	Lager
ADJ LOC	7140.00	0.00	7140.00	7140.00	Andere
PREB-01	6353.00	130.00	6223.00	6223.00	Prep/Plating
VF-LINE-02	6146.00	0.00	6146.00	6146.00	Fulfillment
PostB-01	6070.00	0.00	6070.00	6070.00	Prep/Plating
FAFERMAND	5819.00	0.00	5819.00	5819.00	Andere
PLATING-LINE-03	4643.00	0.00	4643.00	4643.00	Prep/Plating
PROD RTN	3875.00	0.00	3875.00	3875.00	Andere
LOST	3251.00	0.00	3251.00	3251.00	Andere
FAFRANKENT	3216.00	0.00	3216.00	3216.00	Andere
FARIVERAZVF	2898.00	0.00	2898.00	2898.00	Andere
FAGEVERSF	2688.00	0.00	2688.00	2688.00	Andere
STGDR-28	2516.00	0.00	2516.00	2516.00	Lager
FAIZAREAN	2380.00	0.00	2380.00	2380.00	Andere
PH-03-19	1536.00	0.00	1536.00	1536.00	Andere
SLEEVING	1444.00	0.00	1444.00	1444.00	Prep/Plating
GERMANY	1338.00	0.00	1338.00	1338.00	Andere
FATRAOREDA	1194.00	0.00	1194.00	1194.00	Andere
BULKLIQUID	1111.19	0.00	1111.19	1111.19	Andere
