Produkt	Gesamt_kg	A-01-02-2	A-01-03-1	A-01-03-2	A-01-04-1	A-01-05-1	A-01-06-1	A-01-07-1	A-01-08-1	A-01-09-1	A-01-10-1	A-01-11-1	A-01-13-1	A-01-14-1	A-01-14-2	A-01-15-1	A-01-16-1	A-01-17-1	A-01-19-1	A-01-20-1	A-01-21-1	A-01-22-1	A-01-23-1	A-01-24-1	A-01-25-1	A-01-26-1	A-01-27-1	A-01-28-1	A-01-29-1	A-01-34-1	A-01-35-1	A-01-36-1	A-01-37-1	A-01-38-1	A-01-39-1	A-02-100-2	A-02-103-1	A-02-104-1	A-02-108-1	A-02-114-1	A-02-64-2	A-02-71-1	A-02-72-1	A-02-73-1	A-02-74-1	A-02-75-1	A-02-85-1	A-02-86-1	A-02-87-1	A-02-98-2	ADJ LOC	BULKLIQUID	D-06-04-2	D-06-14-1	D-06-15-2	D-06-16-1	D-06-37-3	D-06-40-2	D-06-42-3	D-06-47-2	D-06-48-2	D-06-48-3	DEBOXWIP	FACAPK	FACHIRANI	FADIKELISA	FADKLOMP	FAELMIE	FAFERMAND	FAFRANKENT	FAFURMANNB	FAGEVERSF	FAHABAYEBM	FAHANSENMA	FAIZAREAN	FALUHRSP	FAMATIKT	FAMOHAMMADA	FAMOHAMMEDA	FARIVERAZ	FARIVERAZVF	FASADEKM	FASAUERJ	FASCHRADERS	FATRAOREDA	FAWAHIDM	FAWIEGHOLDD	FH-01-01	FH-01-04	GC-02-01-1	GC-02-04-2	GC-02-18-1	GC-02-19-1	GC-02-23-1	GC-03-11-1	GC-03-13-1	GC-03-18-1	GC-03-19-1	GC-03-20-1	GERMANY	LOST	P-04-04-1	PH-02-01	PH-03-05	PH-03-06	PH-03-10	PH-03-12	PH-03-15	PH-03-18	PH-03-19	PH-03-20	PH-03-22	PH-03-23	PH-03-24	PLATING-LINE-01	PLATING-LINE-02	PLATING-LINE-03	PLATINGWIP	PLH-01-02	PLH-01-03	PLH-01-04	PLH-01-05	PLH-01-06	PLH-01-07	PLH-01-08	PLH-01-09	PLH-01-10	PLH-01-11	PLH-01-12	PLH-01-13	PLH-01-14	PLH-01-15	PLH-01-16	PLH-02-01	PLH-02-02	PLH-02-03	PLH-02-05	PLH-02-06	PLH-02-07	PLH-02-08	PLH-02-09	PLH-02-10	PLH-02-11	PLH-02-12	PLH-02-13	PLH-02-14	PLH-02-15	PLH-02-16	PLH-03-01	PLH-03-05	PLH-04-01	PLH-04-02	PLH-04-03	PLH-04-04	PLH-04-05	PLH-04-09	PLH-04-10	PLH-04-11	PLH-04-12	PLH-04-13	PLH-04-14	PLH-04-15	PLH-04-16	PLSTG-01	PLSTG-02	PLSTG-03	PREB-01	PROD RTN	PRODUCTION	PostB-01	SLEEVING	SP-01-01-1	SP-01-01-2	SP-01-02-3	SP-01-06-1	SP-02-01-3	SP-02-02-2	SP-02-03-3	SP-02-04-2	SP-02-06-2	SP-02-06-3	SPI-WINDOW	STGDR-27	STGDR-28	STGDR-29	STGDR-30	STGDR-85	UNBEKANNT	VEGGIE	VF-LINE-01	VF-LINE-02
Karotten, Münzschnitt 5 mm	-717467.08																																																														-717467.08																																																																																																																																
Grüne Bohnen, frisch und geschnitten	-571461.73																																																														-579544.52																			1000.00					1400.00							100.00	200.00	200.00	194.81	135.00	52.98																																																																																					2400.00				2400.00			
Brokkoli, Röschen	-376636.94																																																														-376636.94																																																																																																																																
Sahne 20%	-237621.75																																																														-237621.75																																																																																																																																
Zwiebel, grün, in Scheiben geschnitten, 5 mm	-205803.49																																																														-205803.49																																																																																																																																
FA-DE Freebies (TZ)	200000.00																																								40000.00																																40000.00													40000.00																																																																																																					40000.00	40000.00			
Pilz, Knopf, geschnitten, gewaschen	-190979.73																																																														-190979.73																																																																																																																																
Blumenkohl, Reis, IQF	-145889.21																																																														-145889.21																																																																																																																																
Öl, Olivenöl	-126753.84																																																			1111.19											-128070.03																																																																																																																													205.00			
FA-NO Freebies (TV)	120000.00																																																																								40000.00																																																																																																																		40000.00	40000.00			
FA-NO Freebies (TK)	120000.00																																																																								40000.00																																																																																																																		40000.00	40000.00			
Thyme Roasted Mushrooms (less	111855.00																																																																			29.00	435.00						21.00			22.00			22.00																				67.00																	0.00		59.00				29.00										-22.00								92.00				22.00	59000.00	51000.00			21.00						79.00							0.00			357.00	132.00		357.00																		133.00			
Swiss Cheese Sauce - More Salt	51052.00																																																																			38.00	266.00																																																	0.00																							66.00						50000.00									150.00											216.00	50.00		216.00																		50.00			
FA-NO Nordics Box Size XS	45200.00										400.00		400.00	400.00		400.00	400.00	400.00	400.00																																																				1200.00											6000.00		2400.00		3200.00																																																																																		800.00																			9200.00	19600.00			
Honig – Masse	-44793.88																																																														-44793.88																																																																																																																																
Garlic Herb Butter	40287.00																																																																			31000.00	59.00																																																	1.00																					100.00								9009.00																				50.00	9.00		50.00																		9.00			
Käse, Sahne, 13% Fett	-37608.12																																																														-37608.12																																																																																																																																
Butter, ungesalzen	-31156.26																																																														-31174.26			9.00																																																																																																						9.00																							
FA-DE Liner S	29388.00																																							186.00		372.00	372.00	372.00			372.00	372.00	372.00		4836.00																				558.00											2232.00		4650.00																186.00																																																																																								14508.00			
Senf, Dijon	-25353.91																																																														-25353.91																																																																																																																																
Milch, voll	-20598.84																																																														-20598.84																																																																																																																																
Zwiebel, Spanisch, gewürfelt 5 mm	-20483.28																																																														-20483.28																																																																																																																																
Saft, Zitrone	-13526.18																																																														-13526.18																																																																																																																																
FA-DE Liner L1	13056.00																																			96.00	192.00	192.00	96.00											192.00	2304.00																				1248.00													1632.00			192.00																																																																																																					6912.00			
FA-DE Grillhähnchen und Ratatouille (FE4015)	12096.00																																																																						768.00													2304.00		768.00	704.00																					384.00		768.00				384.00																																																							384.00														2624.00					3008.00			
FA-NO Grillet kylling og ratatouille (FE4015)	11806.00																																																																						3344.00			39.00												656.00																	-39.00																																																																	39.00			272.00															3728.00		3767.00			
FV0970A - Caramelized Onion & Emmental Fondue Chicken [DE]	11537.00																																																																		1.00	512.00							1325.00						1837.00																																		7862.00																																																																												
Käse, Parmesan, gerieben	-11472.76																																																														-11562.76				30.00																							30.00																																																																														30.00																							
FA-NO Nordics Box Size M	10440.00		180.00		540.00	180.00	180.00	180.00	-180.00																																																														540.00											360.00		900.00		1440.00																																																																																		360.00																			1800.00	3960.00			
Knoblauch, IQF, gewürfelt 4 mm	-9656.70																																																														-9656.70																																																																																																																																
Schalotten, gewürfelt, 5 mm	-9445.73																																																														-9445.73																																																																																																																																
Roasted Green Onions	9260.00																																																																			17.00	26.00																																9.00																	0.00																							17.00					9.00		8991.00																			146.00	9.00		26.00																		10.00			
Gewürze, Meersalz	-8829.75																																																											30.00			-8949.76	20.00	10.00												10.00					10.00				10.00																																																																																						0.00										30.00									
FA-DE Grünes Chili-Hähnchen mit Quinoa-Salsa (FE1636)	8640.00																																																																					384.00	384.00											384.00		1152.00		768.00	320.00													384.00				384.00		768.00																																																																													1856.00					1856.00			
FA-DE Geschmortes Rindfleisch in Kräuterjus (FE0413)	8352.00																																																																						1152.00	384.00										384.00		384.00		384.00	480.00																							384.00		384.00		384.00																																																																					480.00		1536.00			2016.00			
FA-NO Braiseret oksekød i urtesauce (FE0413)	7648.00																																																																						1120.00	768.00		64.00								352.00					384.00																-64.00																																																																	64.00			352.00														1920.00	352.00		2336.00			
FA-DE Westafrikanisches Hähnchen-Erdnuss-Curry (FE1451)	7584.00																																																																						768.00	768.00												384.00			864.00																							384.00	384.00																																																																								480.00		1536.00			2016.00			
FA-DE Liner L2	7392.00																																												264.00	264.00																																				1848.00				792.00																																																																																																					2112.00	2112.00			
FA-DE Rinderragù mit sonnengetrockneten Tomaten und Pasta (F	6960.00																																																																					384.00	400.00													768.00		768.00	384.00													384.00												384.00	384.00																																																																						1552.00					1552.00			
FA-NO Vestfrikansk-inspireret peanut-kyllingecurry (FE1451)	6776.00																																																																						768.00			28.00								320.00					1152.00																-28.00																																																																	28.00																	1920.00	320.00		2268.00			
FA-NO Chilensk inspireret kylling med salsa-quinoa (FE1636)	6304.00																																																																																						1920.00																																																																																																			1920.00		2464.00			
FA-NO Pulled pork i rød chilisauce (FE4049)	5628.00																																																																						768.00			30.00											320.00		768.00																-30.00																																																																	30.00																		1856.00		1886.00			
FA-DE Pulled Pork-Chilli-Bow (FE4049)	5136.00																																																																					432.00	384.00													384.00			768.00																				768.00																																																																												1200.00					1200.00			
FA-DE Ají Verde Lachs (FE1320)	5088.00																																																																					384.00														768.00	384.00		416.00													384.00					384.00																																																																														1184.00					1184.00			
FA-NO Pasta med oksekødsragù og soltørrede tomater (FE4075)	5088.00																																																																						1152.00																544.00																																																																																																			1696.00		1696.00			
FA-DE Scharfes Hähnchen mit Jalapeño, Limette und Cheddar (F	4992.00																																																																							768.00												384.00		384.00	384.00																						768.00																																																																										384.00		768.00			1152.00			
Brühe, Huhn, Reduziert	-4934.44																																																														-4934.44																																																																																																																																
FV0970A - Caramelized Onion & Emmental Fondue Chicken [DKSE]	4910.00																																																																			512.00													887.00							-9.00																											2798.00																																																																											290.00	432.00
Salmon - garlic seasoning	4872.00																																																																				925.00						87.00			170.00			60.00																				799.00																	0.00																		-85.00													60.00				87.00	64.00													865.00	592.00		865.00																		383.00			
Gewürz, schwarzer Pfeffer, gemahlen	-4055.37																																																				10.00										-4095.37	10.00												10.00																																																																																																	0.00									10.00									
