Rang	Produkt	Zugänge_kg	Bewegungen_kg	Differenz_kg	NETTO_kg	Grammatur_bis_BlastChiller_g	Transaktionen	Status
1	Karotten, Münzschnitt 5 mm	0.00	717467.08	-717467.08	-717467.08	0	4	AUSGANG -
2	Grüne Bohnen, frisch und geschnitten	8082.79	579544.52	-571461.73	-571461.73	0	68	AUSGANG -
3	Brokkoli, Röschen	0.00	376636.94	-376636.94	-376636.94	0	2	AUSGANG -
4	Sahne 20%	0.00	237621.75	-237621.75	-237621.75	0	2	AUSGANG -
5	Zwiebel, grün, in Scheiben geschnitten, 5 mm	0.00	205803.49	-205803.49	-205803.49	0	3	AUSGANG -
6	FA-DE Freebies (TZ)	200000.00	0.00	200000.00	200000.00	0	6	EINGANG +
7	Pilz, Knopf, geschnitten, gewaschen	0.00	190979.73	-190979.73	-190979.73	0	1	AUSGANG -
8	Blumenkohl, Reis, IQF	0.00	145889.21	-145889.21	-145889.21	0	1	AUSGANG -
9	Öl, Olivenöl	1316.19	128070.03	-126753.84	-126753.84	0	54	AUSGANG -
10	FA-NO Freebies (TV)	120000.00	0.00	120000.00	120000.00	0	5	EINGANG +
11	FA-NO Freebies (TK)	120000.00	0.00	120000.00	120000.00	0	5	EINGANG +
12	Thyme Roasted Mushrooms (less	222174.00	110319.00	111855.00	111855.00	0	114	EINGANG +
13	Swiss Cheese Sauce - More Salt	101230.00	50178.00	51052.00	51052.00	0	36	EINGANG +
14	FA-NO Nordics Box Size XS	45600.00	400.00	45200.00	45200.00	0	139	EINGANG +
15	Honig – Masse	0.00	44793.88	-44793.88	-44793.88	0	4	AUSGANG -
16	Garlic Herb Butter	80287.00	40000.00	40287.00	40287.00	0	21	EINGANG +
17	Käse, Sahne, 13% Fett	0.00	37608.12	-37608.12	-37608.12	0	1	AUSGANG -
18	Butter, ungesalzen	36.00	31192.26	-31156.26	-31156.26	0	10	AUSGANG -
19	FA-DE Liner S	29574.00	186.00	29388.00	29388.00	0	186	EINGANG +
20	Senf, Dijon	0.00	25353.91	-25353.91	-25353.91	0	1	AUSGANG -
21	Milch, voll	0.00	20598.84	-20598.84	-20598.84	0	4	AUSGANG -
22	Zwiebel, Spanisch, gewürfelt 5 mm	0.00	20483.28	-20483.28	-20483.28	0	2	AUSGANG -
23	Saft, Zitrone	0.00	13526.18	-13526.18	-13526.18	0	3	AUSGANG -
24	FA-DE Liner L1	13056.00	0.00	13056.00	13056.00	0	160	EINGANG +
25	FA-DE Grillhähnchen und Ratatouille (FE4015)	12096.00	0.00	12096.00	12096.00	0	40	EINGANG +
26	FA-NO Grillet kylling og ratatouille (FE4015)	11845.00	39.00	11806.00	11806.00	0	46	EINGANG +
27	FV0970A - Caramelized Onion & Emmental Fondue Chicken [DE]	11537.00	0.00	11537.00	11537.00	0	32	EINGANG +
28	Käse, Parmesan, gerieben	120.00	11592.76	-11472.76	-11472.76	0	7	AUSGANG -
29	FA-NO Nordics Box Size M	10620.00	180.00	10440.00	10440.00	0	94	EINGANG +
30	Knoblauch, IQF, gewürfelt 4 mm	0.00	9656.70	-9656.70	-9656.70	0	7	AUSGANG -
31	Schalotten, gewürfelt, 5 mm	0.00	9445.73	-9445.73	-9445.73	0	1	AUSGANG -
32	Roasted Green Onions	18269.00	9009.00	9260.00	9260.00	0	23	EINGANG +
33	Gewürze, Meersalz	120.00	8949.76	-8829.75	-8829.75	0	35	AUSGANG -
34	FA-DE Grünes Chili-Hähnchen mit Quinoa-Salsa (FE1636)	8640.00	0.00	8640.00	8640.00	0	28	EINGANG +
35	FA-DE Geschmortes Rindfleisch in Kräuterjus (FE0413)	8352.00	0.00	8352.00	8352.00	0	30	EINGANG +
36	FA-NO Braiseret oksekød i urtesauce (FE0413)	7712.00	64.00	7648.00	7648.00	0	30	EINGANG +
37	FA-DE Westafrikanisches Hähnchen-Erdnuss-Curry (FE1451)	7584.00	0.00	7584.00	7584.00	0	28	EINGANG +
38	FA-DE Liner L2	7392.00	0.00	7392.00	7392.00	0	72	EINGANG +
39	FA-DE Rinderragù mit sonnengetrockneten Tomaten und Pasta (F	6960.00	0.00	6960.00	6960.00	0	22	EINGANG +
40	FA-NO Vestfrikansk-inspireret peanut-kyllingecurry (FE1451)	6804.00	28.00	6776.00	6776.00	0	28	EINGANG +
41	FA-NO Chilensk inspireret kylling med salsa-quinoa (FE1636)	6304.00	0.00	6304.00	6304.00	0	24	EINGANG +
42	FA-NO Pulled pork i rød chilisauce (FE4049)	5658.00	30.00	5628.00	5628.00	0	24	EINGANG +
43	FA-DE Pulled Pork-Chilli-Bow (FE4049)	5136.00	0.00	5136.00	5136.00	0	16	EINGANG +
44	FA-DE Ají Verde Lachs (FE1320)	5088.00	0.00	5088.00	5088.00	0	16	EINGANG +
45	FA-NO Pasta med oksekødsragù og soltørrede tomater (FE4075)	5088.00	0.00	5088.00	5088.00	0	20	EINGANG +
46	FA-DE Scharfes Hähnchen mit Jalapeño, Limette und Cheddar (F	4992.00	0.00	4992.00	4992.00	0	16	EINGANG +
47	Brühe, Huhn, Reduziert	0.00	4934.44	-4934.44	-4934.44	0	1	AUSGANG -
48	FV0970A - Caramelized Onion & Emmental Fondue Chicken [DKSE]	4919.00	9.00	4910.00	4910.00	0	16	EINGANG +
49	Salmon - garlic seasoning	5907.00	1035.00	4872.00	4872.00	0	121	EINGANG +
50	Gewürz, schwarzer Pfeffer, gemahlen	40.00	4095.37	-4055.37	-4055.37	0	20	AUSGANG -
51	FA-NO Laks med aji verde (FE1320)	4075.00	153.00	3922.00	3922.00	0	18	EINGANG +
52	Gewürz, Senfkörner gemahlen, Trockenmasse	0.00	3830.68	-3830.68	-3830.68	0	1	AUSGANG -
53	Garlic Spinach Stamppot	4420.00	849.00	3571.00	3571.00	0	61	EINGANG +
54	Chicken breast - Herb Grilled Chicken Breast	3868.00	502.00	3366.00	3366.00	0	65	EINGANG +
55	FV4009A - Salmon with a mustar	3290.00	0.00	3290.00	3290.00	0	7	EINGANG +
56	FV0972A - Salmon Piccata [DKSE	2983.00	0.00	2983.00	2983.00	0	6	EINGANG +
57	Gewürz, Knoblauch granuliert	40.00	2843.60	-2803.60	-2803.60	0	13	AUSGANG -
58	FV4009A - Salmon with a mustard dill sauce [DE]	2763.00	0.00	2763.00	2763.00	0	7	EINGANG +
59	Garlic Herb Marinated Salmon	2989.01	249.00	2740.01	2740.01	0	78	EINGANG +
60	FA-NO Spicy kylling med jalapeño, lime og cheddar (FE0198)	2736.00	0.00	2736.00	2736.00	0	12	EINGANG +
61	Broccoli - S&P IQF Broccoli FL	2863.01	189.00	2674.01	2674.01	0	122	EINGANG +
62	FA-DE Gegrilltes Hähnchen in Ingwer-Knoblauch-Marinade (FE40	2432.00	0.00	2432.00	2432.00	0	10	EINGANG +
63	Rindfleisch, Pulled, Sous Vide	2415.00	0.00	2415.00	2415.00	0	8	EINGANG +
64	Green Beans CUT 1-1/2 - Fresh	2972.00	566.00	2406.00	2406.00	0	89	EINGANG +
65	Parmesan Cauliflower Mash - Ri	2269.01	29.00	2240.01	2240.01	0	44	EINGANG +
66	FV0972A - Salmon Piccata [DE]	2213.00	0.00	2213.00	2213.00	0	6	EINGANG +
67	Dill, frisch	0.00	2207.51	-2207.51	-2207.51	0	1	AUSGANG -
68	FA-DE Lachs-Bowl mit Zitrus-Miso (FE1731)	2112.00	0.00	2112.00	2112.00	0	8	EINGANG +
69	FA-NO Grillet kylling med ingefær og hvidløg (FE4064)	1968.00	0.00	1968.00	1968.00	0	8	EINGANG +
70	Hähnchenbrust, in Stücken, ohne Knochen und ohne Haut	1950.00	0.00	1950.00	1950.00	0	4	EINGANG +
71	FA-NO Svinemørbrad i spicy ancho chili sauce (FE1072)	1920.00	0.00	1920.00	1920.00	0	8	EINGANG +
72	FA-DE Schweinefilet in cremiger Knoblauch-Senf-Sauce (FE0169	1872.00	0.00	1872.00	1872.00	0	10	EINGANG +
73	FA-NO Laksebowl med citrus-miso (FE1731)	1824.00	0.00	1824.00	1824.00	0	8	EINGANG +
74	FA-NO Krydret hakkebøf med jalapenos (FE0746)	1776.00	0.00	1776.00	1776.00	0	8	EINGANG +
75	FA-DE Scharfes Rinderhack mit Jalapeños (FE0746)	1728.00	0.00	1728.00	1728.00	0	8	EINGANG +
76	Spinat, gefrorener Blattspinat	0.00	1604.88	-1604.88	-1604.88	0	3	AUSGANG -
77	FA-NO Cremet tomatrisotto (FE0031)	1600.00	0.00	1600.00	1600.00	0	6	EINGANG +
78	FA-DE Schweinefilet in scharfer Ancho-Chili-Sauce (FE1072)	1552.00	0.00	1552.00	1552.00	0	10	EINGANG +
79	Reis, Basmati, braun	1500.00	0.00	1500.00	1500.00	0	4	EINGANG +
80	Sauce - Creamy Dijon and Dill	1785.00	368.00	1417.00	1417.00	0	40	EINGANG +
81	S&P Roasted Green Beans 1	1588.00	173.00	1415.00	1415.00	0	71	EINGANG +
82	Honey-Garlic Roasted Carrot Co	1869.00	477.00	1392.00	1392.00	0	89	EINGANG +
83	FA-DE Beef, Ground, 80/20 /Rindfleisch, gemahlen, 80/20	1320.00	0.00	1320.00	1320.00	0	6	EINGANG +
84	Essig, Weißwein	0.00	1236.90	-1236.90	-1236.90	0	1	AUSGANG -
85	Knoblauch, geschält, ganze Nelken [10kg]	680.00	1910.67	-1230.67	-1230.67	0	11	AUSGANG -
86	Kartoffeln, gewürfelt, 10 mm	0.00	1148.81	-1148.81	-1148.81	0	3	AUSGANG -
87	FA-DE Cremiges Tomaten-Risotto (FE0031)	1104.00	0.00	1104.00	1104.00	0	4	EINGANG +
88	Gewürz, Knoblauchpulver, geröstet	40.00	1102.27	-1062.27	-1062.27	0	7	AUSGANG -
89	FA-NO Svinemørbrad i cremet hvidløg-sennepssauce (FE0169)	1056.00	0.00	1056.00	1056.00	0	6	EINGANG +
90	Gewürze, getrocknete Petersilie	10.00	942.74	-932.74	-932.74	0	11	AUSGANG -
91	FA-DE Zucchini-Paprika-Ratatouille (FE0090)	912.00	0.00	912.00	912.00	0	4	EINGANG +
92	Petersilie, gehackt	0.00	709.24	-709.24	-709.24	0	1	AUSGANG -
93	FA-NO Kylling i emmental-fondue med karamelliseret løg (FE09	1008.00	336.00	672.00	672.00	0	4	EINGANG +
94	FA-NO Squash- og peberfrugtsratatouille (FE0090)	624.00	0.00	624.00	624.00	0	4	EINGANG +
95	Keto French Onion Burger Onion	685.00	68.00	617.00	617.00	0	15	EINGANG +
96	FA-NO Nordics Box Size L	540.00	0.00	540.00	540.00	0	4	EINGANG +
97	Schnittlauch, getrocknet	0.00	477.01	-477.01	-477.01	0	6	AUSGANG -
98	Sauce - Piccata Sauce - Lower	418.00	14.00	404.00	404.00	0	13	EINGANG +
99	FA-NO Grillet kylling med hvidlød og urter (FEA006)	339.00	33.00	306.00	306.00	0	10	EINGANG +
100	Essig, Reis	270.00	0.00	270.00	270.00	0	4	EINGANG +
101	Gewürz, Thymian trocken	0.00	259.60	-259.60	-259.60	0	1	AUSGANG -
102	FA-DE Hähnchen mit karamellisierten Zwiebeln & Emmentaler-Fo	192.00	0.00	192.00	192.00	0	4	EINGANG +
103	Gewürz, Zitronenpulver	36.00	204.18	-168.17	-168.17	0	6	AUSGANG -
104	FA-NO Laks Piccata  (FE0972)	225.00	75.00	150.00	150.00	0	4	EINGANG +
105	FA-DE Gegrilltes Hähnchen mit Knoblauch-Kräutern (FEA006)	144.00	0.00	144.00	144.00	0	4	EINGANG +
106	Käse, Feta	144.00	0.00	144.00	144.00	0	4	EINGANG +
107	Joghurt, Griechisch, Natur	144.00	0.00	144.00	144.00	0	4	EINGANG +
