KATEGORIE	RANG	PRODUKT	NETTO_KG
Prep/Plating Verbrauch	1	Karotten, Münzschnitt 5 mm	717467.08
	2	Grüne Bohnen, frisch und geschnitten	579544.52
	3	Brokkoli, Röschen	376636.94
	4	Sahne 20%	237621.75
	5	Zwiebel, grün, in Scheiben geschnitten, 5 mm	205803.49
	6	Pilz, Knopf, geschnitten, gewaschen	190979.73
	7	Blumenkohl, Reis, IQF	145889.21
	8	Öl, Olivenöl	128070.03
	9	Honig – Masse	44793.88
	10	Käse, Sahne, 13% Fett	37608.12
Fulfillment aktiv	1	Thyme Roasted Mushrooms (less	-110280.00
	2	Swiss Cheese Sauce - More Salt	-50216.00
	3	Garlic Herb Butter	-9109.00
	4	Roasted Green Onions	-9017.00
	5	Chicken breast - Herb Grilled Chicken Breast	-970.00
	6	Broccoli - S&P IQF Broccoli FL	-422.00
	7	Parmesan Cauliflower Mash - Ri	-357.00
	8	Garlic Herb Marinated Salmon	-291.00
	9	S&P Roasted Green Beans 1	-242.00
	10	Keto French Onion Burger Onion	-137.00
