Week	Bereich	Zugaenge_kg	Bewegungen_kg	Differenz_kg	Netto_kg	Kategorie
102614	A-02-59-1	9600.0	0.0	9600.0	9600.0	Andere
102614	FALEHMANNM	9600.0	0.0	9600.0	9600.0	Andere
201617	UNBEKANNT	879.6	0.0	879.6	879.6	Andere
201617	ADJ LOC	639.6	0.0	639.6	639.6	Andere
201617	FAENDERST	639.6	0.0	639.6	639.6	Andere
201617	BULKLIQUID	565.82	0.0	565.82	565.82	Andere
201617	D-06-09-1	390.0	90.0	300.0	300.0	Andere
201617	FASADEKM	270.0	0.0	270.0	270.0	Andere
201617	A-01-04-1	240.0	0.0	240.0	240.0	Andere
201617	FAGEVERSF	240.0	0.0	240.0	240.0	Andere
201617	FALEHMANNM	240.0	0.0	240.0	240.0	Andere
201617	PROD RTN	240.0	0.0	240.0	240.0	Andere
201617	D-06-09-4	135.0	0.0	135.0	135.0	Andere
201617	D-06-05-1	67.2	0.0	67.2	67.2	Andere
201617	D-06-08-1	11.2	11.2	0.0	0.0	Andere
202603	A-01-41-1	0.0	150.0	-150.0	-150.0	Andere
202603	A-01-42-1	0.0	0.0	0.0	0.0	Andere
202603	A-01-44-1	0.0	0.0	0.0	0.0	Andere
202604	FAWIEGHOLDD	18900.0	0.0	18900.0	18900.0	Andere
202604	FAGEVERSF	13360.0	0.0	13360.0	13360.0	Andere
202604	A-01-41-4	0.0	6300.0	-6300.0	-6300.0	Andere
202604	A-01-43-1	0.0	6300.0	-6300.0	-6300.0	Andere
202604	A-01-43-2	0.0	6300.0	-6300.0	-6300.0	Andere
202604	A-01-44-2	0.0	6300.0	-6300.0	-6300.0	Andere
202604	A-01-45-1	0.0	6300.0	-6300.0	-6300.0	Andere
202604	A-01-45-2	0.0	6300.0	-6300.0	-6300.0	Andere
202604	A-01-46-1	0.0	6300.0	-6300.0	-6300.0	Andere
202604	A-01-47-1	6300.0	0.0	6300.0	6300.0	Andere
202604	A-01-48-1	6300.0	0.0	6300.0	6300.0	Andere
202604	A-01-49-1	6300.0	0.0	6300.0	6300.0	Andere
202604	A-01-62-1	6300.0	0.0	6300.0	6300.0	Andere
202604	A-01-63-1	6300.0	0.0	6300.0	6300.0	Andere
202604	A-01-32-2	400.0	0.0	400.0	400.0	Andere
202604	A-01-28-2	360.0	0.0	360.0	360.0	Andere
202604	FALEHMANNM	240.0	0.0	240.0	240.0	Andere
202604	D-06-50-1	150.0	0.0	150.0	150.0	Andere
202604	A-01-04-1	120.0	0.0	120.0	120.0	Andere
202604	A-01-14-3	120.0	0.0	120.0	120.0	Andere
202604	FZ-01-20-1	126.0	28.0	98.0	98.0	Andere
202604	D-06-06-1	0.0	25.0	-25.0	-25.0	Andere
202604	D-06-48-1	0.0	25.0	-25.0	-25.0	Andere
202604	D-06-04-1	115.0	103.0	12.0	12.0	Andere
202604	A-01-08-3	0.0	0.0	0.0	0.0	Andere
202604	A-01-09-2	180.0	180.0	0.0	0.0	Andere
202604	A-01-11-2	180.0	180.0	0.0	0.0	Andere
202604	A-01-12-2	180.0	180.0	0.0	0.0	Andere
202604	A-01-13-2	180.0	180.0	0.0	0.0	Andere
202604	A-01-27-2	180.0	180.0	0.0	0.0	Andere
202604	A-01-29-2	400.0	400.0	0.0	0.0	Andere
202604	A-01-50-1	0.0	0.0	0.0	0.0	Andere
202604	A-01-51-1	0.0	0.0	0.0	0.0	Andere
202604	A-01-55-1	0.0	0.0	0.0	0.0	Andere
202604	A-01-57-1	0.0	0.0	0.0	0.0	Andere
202604	A-01-64-1	6300.0	6300.0	0.0	0.0	Andere
202604	FZ-01-21-1	0.0	0.0	0.0	0.0	Andere
202604	UNBEKANNT	0.0	0.0	0.0	0.0	Andere
202605	FAHABAYEBM	8892.0	0.0	8892.0	8892.0	Andere
202605	FAZALOGD	8736.0	0.0	8736.0	8736.0	Andere
202605	FAGEVERSF	3164.0	0.0	3164.0	3164.0	Andere
202605	FALEHMANNM	2696.0	0.0	2696.0	2696.0	Andere
202605	NORDICS	2496.0	0.0	2496.0	2496.0	Andere
202605	FZ-01-17-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-18-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-20-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-21-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-22-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-23-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-24-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-25-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-26-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-27-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-28-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-29-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-30-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-31-2	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-33-3	1248.0	0.0	1248.0	1248.0	Andere
202605	FZ-01-17-4	810.0	0.0	810.0	810.0	Andere
202605	FZ-01-18-4	810.0	0.0	810.0	810.0	Andere
202605	FZ-01-21-3	490.0	0.0	490.0	490.0	Andere
202605	FZ-01-10-4	468.0	0.0	468.0	468.0	Andere
202605	FZ-01-11-4	468.0	0.0	468.0	468.0	Andere
202605	FZ-01-12-4	468.0	0.0	468.0	468.0	Andere
202605	FZ-02-01-1	468.0	0.0	468.0	468.0	Andere
202605	FAWIEGHOLDD	400.0	0.0	400.0	400.0	Andere
202605	FZ-01-23-3	400.0	0.0	400.0	400.0	Andere
202605	A-02-33-2	200.0	0.0	200.0	200.0	Andere
202605	A-02-62-2	200.0	0.0	200.0	200.0	Andere
202605	A-02-64-2	200.0	0.0	200.0	200.0	Andere
202605	A-02-65-3	200.0	0.0	200.0	200.0	Andere
202605	FZ-01-20-3	110.0	0.0	110.0	110.0	Andere
202605	FZ-01-22-3	70.0	0.0	70.0	70.0	Andere
202605	FZ-01-18-3	60.0	0.0	60.0	60.0	Andere
202605	FZ-01-19-4	60.0	0.0	60.0	60.0	Andere
202605	FZ-01-17-3	410.0	400.0	10.0	10.0	Andere
202605	FZ-01-19-3	99460.0	99470.0	-10.0	-10.0	Andere
202605	A-02-34-2	200.0	200.0	0.0	0.0	Andere
202605	A-02-52-1	200.0	200.0	0.0	0.0	Andere
202605	A-02-53-1	200.0	200.0	0.0	0.0	Andere
202605	FZ-01-24-3	0.0	0.0	0.0	0.0	Andere
202605	FZ-01-31-3	1248.0	1248.0	0.0	0.0	Andere
202606	FALEHMANNM	2140.0	0.0	2140.0	2140.0	Andere
202606	FAGEVERSF	2048.0	0.0	2048.0	2048.0	Andere
202606	FAWIEGHOLDD	780.0	0.0	780.0	780.0	Andere
202606	A-02-99-1	504.0	0.0	504.0	504.0	Andere
202606	A-01-33-2	400.0	0.0	400.0	400.0	Andere
202606	A-01-36-2	400.0	0.0	400.0	400.0	Andere
202606	A-01-40-1	800.0	400.0	400.0	400.0	Andere
202606	A-02-59-3	400.0	0.0	400.0	400.0	Andere
202606	A-02-80-2	336.0	0.0	336.0	336.0	Andere
202606	FASCHRADERS	336.0	0.0	336.0	336.0	Andere
202606	A-02-108-1	264.0	0.0	264.0	264.0	Andere
202606	A-02-87-1	264.0	0.0	264.0	264.0	Andere
202606	FALUHRSP	264.0	0.0	264.0	264.0	Andere
202606	A-02-63-2	200.0	0.0	200.0	200.0	Andere
202606	A-01-11-1	180.0	0.0	180.0	180.0	Andere
202606	A-01-19-2	180.0	0.0	180.0	180.0	Andere
202606	A-01-20-2	180.0	0.0	180.0	180.0	Andere
202606	A-01-30-1	180.0	0.0	180.0	180.0	Andere
202606	A-01-31-1	180.0	0.0	180.0	180.0	Andere
202606	A-01-32-1	180.0	0.0	180.0	180.0	Andere
202606	A-01-38-1	180.0	0.0	180.0	180.0	Andere
202606	A-01-39-2	180.0	0.0	180.0	180.0	Andere
202606	A-01-40-2	180.0	0.0	180.0	180.0	Andere
202606	A-01-41-2	180.0	0.0	180.0	180.0	Andere
202606	A-02-119-1	168.0	0.0	168.0	168.0	Andere
202606	A-02-45-1	168.0	0.0	168.0	168.0	Andere
202606	A-02-107-1	132.0	0.0	132.0	132.0	Andere
202606	A-02-112-1	132.0	0.0	132.0	132.0	Andere
202606	A-01-06-3	0.0	0.0	0.0	0.0	Andere
202606	A-01-10-3	0.0	0.0	0.0	0.0	Andere
202606	A-01-14-2	400.0	400.0	0.0	0.0	Andere
202606	A-01-15-2	0.0	0.0	0.0	0.0	Andere
202606	A-01-16-2	0.0	0.0	0.0	0.0	Andere
202606	A-01-17-2	0.0	0.0	0.0	0.0	Andere
202606	A-01-23-4	186.0	186.0	0.0	0.0	Andere
202606	A-01-28-3	0.0	0.0	0.0	0.0	Andere
202606	A-01-29-3	0.0	0.0	0.0	0.0	Andere
202606	A-01-37-2	400.0	400.0	0.0	0.0	Andere
202606	A-01-38-2	800.0	800.0	0.0	0.0	Andere
202606	A-01-39-1	800.0	800.0	0.0	0.0	Andere
202606	A-01-42-4	186.0	186.0	0.0	0.0	Andere
202606	A-01-43-4	186.0	186.0	0.0	0.0	Andere
202606	A-01-44-4	186.0	186.0	0.0	0.0	Andere
202606	A-01-46-3	186.0	186.0	0.0	0.0	Andere
202606	A-02-07-3	200.0	200.0	0.0	0.0	Andere
202606	A-02-103-1	132.0	132.0	0.0	0.0	Andere
202606	A-02-109-2	132.0	132.0	0.0	0.0	Andere
202606	A-02-17-3	400.0	400.0	0.0	0.0	Andere
202606	A-02-19-3	400.0	400.0	0.0	0.0	Andere
202606	A-02-20-3	400.0	400.0	0.0	0.0	Andere
202606	A-02-29-3	400.0	400.0	0.0	0.0	Andere
