Week	Produkt	Zugaenge_kg	Bewegungen_kg	Differenz_kg	Netto_kg	Grammatur_bis_BlastChiller_g	Transaktionen	Status
102614	FA-DE Welcome Booklet (TZ)	19200.0	0.0	19200.0	19200.0	0	2	EINGANG +
201617	Öl, Olivenöl	2800.82	90.0	2710.82	2710.82	0	30	EINGANG +
201617	FA-NO Small Half Box (B) - NORDICS	1200.0	0.0	1200.0	1200.0	0	5	EINGANG +
201617	FA-DE Capers, Preserved/Kapern, konserviert	512.4	0.0	512.4	512.4	0	6	EINGANG +
201617	Jalapeno-Paprikaschoten, Nacho in Scheiben geschnitten	44.8	11.2	33.6	33.6	0	5	EINGANG +
202603	FA-DE Rational Reiniger-Tabs	0.0	150.0	-150.0	-150.0	0	1	AUSGANG -
202603	FA-DE Pflege-Tabs Care-Tab	0.0	0.0	0.0	0.0	0	4	NEUTRAL
202604	Factor_ 2 Compartment Tray	69300.0	50400.0	18900.0	18900.0	0	27	EINGANG +
202604	FA-NO Nordics Box Size XS	1200.0	400.0	800.0	800.0	0	4	EINGANG +
202604	FA-NO Nordics Box Size M	1440.0	720.0	720.0	720.0	0	10	EINGANG +
202604	FA-NO Nordics Box Size S	480.0	0.0	480.0	480.0	0	4	EINGANG +
202604	Honig – Masse	150.0	25.0	125.0	125.0	0	7	EINGANG +
202604	Brühe, Huhn, Reduziert	126.0	28.0	98.0	98.0	0	11	EINGANG +
202604	Mandeln, geschnitten, blanchiert	0.0	25.0	-25.0	-25.0	0	2	AUSGANG -
202604	Öl, Sesamsamen, geröstet	115.0	103.0	12.0	12.0	0	9	EINGANG +
202604	FA-NO Nordics Box Size L	180.0	180.0	0.0	0.0	0	3	NEUTRAL
202605	FA-NO Ice Pack (500 ml)	43680.0	1248.0	42432.0	42432.0	0	36	EINGANG +
202605	FA-DE Chain Ice Pack (3 x 500 ml)	3744.0	0.0	3744.0	3744.0	0	8	EINGANG +
202605	Blumenkohl, Reis, IQF	2090.0	400.0	1690.0	1690.0	0	13	EINGANG +
202605	FA-DE Medium Box	2200.0	600.0	1600.0	1600.0	0	14	EINGANG +
202605	Spinat, gefrorener Blattspinat	490.0	0.0	490.0	490.0	0	4	EINGANG +
202605	Knoblauch, IQF, gewürfelt 4 mm	99860.0	99470.0	390.0	390.0	0	37	EINGANG +
