Week	Transaktionen	Produkte_Anzahl	Bereiche_Anzahl	Zugaenge_kg	Bewegungen_kg	Differenz_kg	Netto_kg
102614	2	1	2	19200.0	0.0	19200.0	19200.0
201617	46	4	13	4558.02	101.2	4456.82	4456.82
202603	5	2	3	0.0	150.0	-150.0	-150.0
202604	77	9	38	72991.0	51881.0	21110.0	21110.0
202605	132	10	44	152304.0	101718.0	50586.0	50586.0
202606	103	11	52	17026.0	5890.0	11136.0	11136.0
202607	44	7	22	18484.0	504.0	17980.0	17980.0
202608	8	4	5	80308.0	290.0	80018.0	80018.0
202609	168	19	45	42344.0	1776.0	40568.0	40568.0
202610	290	42	134	644297.7	13353.8	630943.9	630943.9
202611	328	29	121	12809549.58	12531228.3	278321.28	278321.28
202612	56	11	31	3696.0	209.0	3487.0	3487.0
202613	507	52	173	570084303.46	931.06	570083372.4	570083372.4
202614	527	71	130	194386.44	1541.0	192845.44	192845.44
202615	1532	59	81	1747529.0	2749.0	1744780.0	1744780.0
202616	1149	91	119	200735.71	15308.06	185427.65	185427.65
202617	3272	171	247	2517199.45	1038339.18	1478860.27	1478860.27
202618	1977	112	182	203478355.53	1666214.52	201812141.0	201812141.0
202619	2678	119	190	1180637.05	3058424.74	-1877787.69	-1877787.69
202620	485	48	68	23235.04	1046052.48	-1022817.45	-1022817.45
202626	2	1	2	0.02	0.0	0.02	0.02
