"Date Needed","Work Order Number","Recipe ID","Recipe Name","Sub Recipe Name","Production Minimum Needs Amount","Cook Methods","WO Cooked Portions","Target Portions","Cooked Portions Excess","Staging Status","Staging Comment","Kitchen Status","Unlocked ETA","Work Order Comment"
"2026-08-17 - 1","35-156","REC-016430-4-003","FV0384A - Chive & Garlic Chicken - [DE]","Allium Roasted Broccoli FLORETS -fresh","0","OVEN","","3345","-3345","Open","","Not Started","",""
"2026-08-17 - 1","35-157","REC-016430-4-003","FV0384A - Chive & Garlic Chicken - [DE]","Cheddar Chive Mashed Potatoes - more cheese","0","OVEN, PLANETARY MIXER","","3345","-3345","Open","","Not Started","",""
"2026-08-17 - 1","35-158","REC-016430-4-003","FV0384A - Chive & Garlic Chicken - [DE]","Chicken Breast  #5 - Italian Herb - Grilled","0","BRINE, GRILL, IMMERSION BLENDER, MARINADE, OVEN","","3345","-3345","Open","","Not Started","",""
"2026-08-17 - 1","35-159","REC-016430-4-003","FV0384A - Chive & Garlic Chicken - [DE]","Mushrooms - MCTWR Roasted Sliced Mushrooms","0","OVEN","","3345","-3345","Open","","Not Started","",""
"2026-08-17 - 1","35-160","REC-016430-4-003","FV0384A - Chive & Garlic Chicken - [DE]","Onion Butter","0","BRAISER, PLANETARY MIXER, SCOOPER (BUTTER), SPICE PORTIONING","","3345","-3345","Open","","Not Started","",""
"2026-08-17 - 1","35-100","REC-013941-4-003","FV0401A - Pulled chicken with cheddar and bacon [DE]","Extra Crispy Diced Bacon","0","OVEN","","1996","-1996","Open","","Not Started","",""
"2026-08-17 - 1","35-101","REC-013941-4-003","FV0401A - Pulled chicken with cheddar and bacon [DE]","FA-DE Cheese, Red Cheddar/Käse, Roter Cheddar","0","","","1996","-1996","Open","","Not Started","",""
"2026-08-17 - 1","35-102","REC-013941-4-003","FV0401A - Pulled chicken with cheddar and bacon [DE]","Garlic Broccoli - less salt","0","BRAISER, OVEN, SPICE PORTIONING","","1996","-1996","Open","","Not Started","",""
"2026-08-17 - 1","35-103","REC-013941-4-003","FV0401A - Pulled chicken with cheddar and bacon [DE]","Portobello - CBRSC Roasted Portobello's","0","BRAISER, OVEN, SPICE PORTIONING","","1996","-1996","Open","","Not Started","",""
"2026-08-17 - 1","35-104","REC-013941-4-003","FV0401A - Pulled chicken with cheddar and bacon [DE]","Roasted Green Onions","0","OVEN","","1996","-1996","Open","","Not Started","",""
"2026-08-17 - 1","35-105","REC-013941-4-003","FV0401A - Pulled chicken with cheddar and bacon [DE]","Sauce - Crack Chicken Cheese Mix","0","HAND MIX, PLANETARY MIXER, SPICE PORTIONING","","1996","-1996","Open","","Not Started","",""
"2026-08-17 - 1","35-106","REC-013941-4-003","FV0401A - Pulled chicken with cheddar and bacon [DE]","Shredded chicken - Keto Crack Chicken Thigh Batch - Shredder","0","BRAISER, BRINE, HAND MIX, HOT SHREDDER, IMMERSION BLENDER, MARINADE, OVEN, SPICE PORTIONING","","1996","-1996","Open","","Not Started","",""
"2026-08-17 - 1","35-64","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Carrots - Cooked Matchstick Carrots","0","OVEN","","1168","-1168","Open","","Not Started","",""
"2026-08-17 - 1","35-65","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Cashews - Curried Cashews","0","HAND MARINADE, HAND MIX, OVEN, SPICE PORTIONING","","1168","-1168","Open","","Not Started","",""
"2026-08-17 - 1","35-66","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Cauliflower - Tandoori Cauliflower Florets","0","HAND MIX, SPICE PORTIONING","","1168","-1168","Open","","Not Started","",""
"2026-08-17 - 1","35-67","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Compound butter - Curry Honey Butter","0","BRAISER, PLANETARY MIXER, SCOOPER (BUTTER), SPICE PORTIONING","","1168","-1168","Open","","Not Started","",""
"2026-08-17 - 1","35-68","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Corn - steamed corn kernels","0","OVEN","","1168","-1168","Open","","Not Started","",""
"2026-08-17 - 1","35-69","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Green beans - S&P Roasted Green Beans, 1-1/2 Cut -  Less Salt","0","OVEN","","1168","-1168","Open","","Not Started","",""
"2026-08-17 - 1","35-70","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Peas - Steamed Peas","0","OVEN","","1168","-1168","Open","","Not Started","",""
"2026-08-17 - 1","35-71","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Rice - Biryani rice base","0","BRAISER, HAND MIX, IMMERSION BLENDER, OVEN, SPICE PORTIONING","","1168","-1168","Open","","Not Started","",""
"2026-08-17 - 1","35-72","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Sauce - Indian Curry Yogurt Sauce","0","BRAISER, HAND MIX, IMMERSION BLENDER, SPICE PORTIONING","","1168","-1168","Open","","Not Started","",""
"2026-08-17 - 1","35-131","REC-013852-4-002","FV0472A - Indian Butter Chicken [DE]","Cauliflower rice - Cilantro and Lime Cauliflower Rice - BA","0","OVEN","","4093","-4093","Open","","Not Started","",""
"2026-08-17 - 1","35-132","REC-013852-4-002","FV0472A - Indian Butter Chicken [DE]","Diced chicken - Butter Chicken Batch - BA","0","BRINE, HAND MIX, MARINADE, OVEN, SPICE PORTIONING","","4093","-4093","Open","","Not Started","",""
"2026-08-17 - 1","35-133","REC-013852-4-002","FV0472A - Indian Butter Chicken [DE]","Roasted Green Onions","0","OVEN","","4093","-4093","Open","","Not Started","",""
"2026-08-17 - 1","35-134","REC-013852-4-002","FV0472A - Indian Butter Chicken [DE]","Sauce - Butter Chicken sauce","0","BRAISER, HAND MIX, IMMERSION BLENDER, SPICE PORTIONING","","4093","-4093","Open","","Not Started","",""
"2026-08-17 - 1","35-59","REC-014000-4-003","FV0516A - [DE] - Sun-Dried Tomato & Spinach Penne","Courgette - Herb Roasted Zucchini + more salt","0","OVEN","","1729","-1729","Open","","Not Started","",""
"2026-08-17 - 1","35-60","REC-014000-4-003","FV0516A - [DE] - Sun-Dried Tomato & Spinach Penne","FA-DE Cheese, Parmesan, Grated /Käse, Parmesan, gerieben","0","","","1729","-1729","Open","","Not Started","",""
"2026-08-17 - 1","35-61","REC-014000-4-003","FV0516A - [DE] - Sun-Dried Tomato & Spinach Penne","FA-DE Pasta, Whole Wheat, Penne IQF/Nudeln, vollkorn, IQF","0","","","1729","-1729","Open","","Not Started","",""
"2026-08-17 - 1","35-62","REC-014000-4-003","FV0516A - [DE] - Sun-Dried Tomato & Spinach Penne","Sauce - Sun-Dried Tomato Sauce - No Spinach","0","BRAISER, IMMERSION BLENDER, SPICE PORTIONING","","1729","-1729","Open","","Not Started","",""
