"Date Needed","Work Order Number","Recipe ID","Recipe Name","Sub Recipe Name","Production Minimum Needs Amount","Cook Methods","WO Cooked Portions","Target Portions","Cooked Portions Excess","Staging Status","Staging Comment","Kitchen Status","Unlocked ETA","Work Order Comment"
"2026-08-02 - 1","33-77","REC-014000-4-003","FV0516A - [DE] - Sun-Dried Tomato & Spinach Penne","Courgette - Herb Roasted Zucchini + more salt","0","OVEN","3173","2245","928","Staged","","Post Blast","",""
"2026-08-02 - 1","33-78","REC-014000-4-003","FV0516A - [DE] - Sun-Dried Tomato & Spinach Penne","FA-DE Cheese, Parmesan, Grated /Käse, Parmesan, gerieben","0","","","2245","-2245","Staged","","Pre Blast","",""
"2026-08-02 - 1","33-79","REC-014000-4-003","FV0516A - [DE] - Sun-Dried Tomato & Spinach Penne","FA-DE Pasta, Whole Wheat, Penne IQF/Nudeln, vollkorn, IQF","0","","","2245","-2245","Staged","","Post Blast","",""
"2026-08-02 - 1","33-80","REC-014000-4-003","FV0516A - [DE] - Sun-Dried Tomato & Spinach Penne","Sauce - Sun-Dried Tomato Sauce - No Spinach","0","BRAISER, IMMERSION BLENDER, SPICE PORTIONING","3","2245","-2242","Staged","","Post Blast","","WIP 1"
"2026-08-02 - 1","33-81","REC-014000-4-003","FV0516A - [DE] - Sun-Dried Tomato & Spinach Penne","Steamed Spinach","0","OVEN","","2245","-2245","Staged","","Pre Blast","",""
"2026-08-02 - 1","33-143","REC-013455-4-002","FV4053A - Gochugaru Chicken [DE]","Cauliflower - Chili-Garlic Cauliflower Florets","0","OVEN","","4003","-4003","Staged","","Post Blast","","WIP1"
"2026-08-02 - 1","33-144","REC-013455-4-002","FV4053A - Gochugaru Chicken [DE]","Diced Chicken - Garlic & Herb Marinade","0","BRINE, IMMERSION BLENDER, MARINADE, OVEN","","4003","-4003","Staged","","Post Blast","","WIP 2"
"2026-08-02 - 1","33-145","REC-013455-4-002","FV4053A - Gochugaru Chicken [DE]","FA-DE Cheese, Mozzarella, Shredded /Käse, Mozzarella, gerieben","0","","","4003","-4003","Staged","","Pre Blast","",""
"2026-08-02 - 1","33-146","REC-013455-4-002","FV4053A - Gochugaru Chicken [DE]","Roasted Green Onions","0","OVEN","","4003","-4003","Staged","","Post Blast","","WIP 1"
"2026-08-02 - 1","33-147","REC-013455-4-002","FV4053A - Gochugaru Chicken [DE]","Sauce - Creamy Gochugaru Sauce","0","BRAISER, IMMERSION BLENDER, SPICE PORTIONING","","4003","-4003","Staged","","Post Blast","","WIP1"
"2026-08-03 - 1","33-1","REC-030756-4-002","FV0576A - Creamy Lemon Pepper Chicken [DE]","Carrot & Pea Brown Rice Pilaf","0","BRAISER, OVEN, SPICE PORTIONING","","6633","-6633","Partially Staged","","Pre Blast","",""
"2026-08-03 - 1","33-2","REC-030756-4-002","FV0576A - Creamy Lemon Pepper Chicken [DE]","Chicken Breast Marinade #4 - NO GRILL","0","IMMERSION BLENDER","912","6633","-5721","Staged","","Post Blast","","WIP 2"
"2026-08-03 - 1","33-3","REC-030756-4-002","FV0576A - Creamy Lemon Pepper Chicken [DE]","Grated Parmesan Broccoli","0","","9360","6633","2727","Staged","","Post Blast","",""
"2026-08-03 - 1","33-4","REC-030756-4-002","FV0576A - Creamy Lemon Pepper Chicken [DE]","Lemon Herb Cream Cheese Sauce - Low Fat","0","BRAISER, HAND MIX, IMMERSION BLENDER, SPICE PORTIONING","","6633","-6633","Staged","","Not Started","",""
