"Date Needed","Work Order Number","Recipe ID","Recipe Name","Sub Recipe Name","Production Minimum Needs Amount","Cook Methods","WO Cooked Portions","Target Portions","Cooked Portions Excess","Staging Status","Staging Comment","Kitchen Status","Unlocked ETA","Work Order Comment"
"2026-08-31 - 1","37-1","REC-013943-4-004","FV0257A - Greek style ground beef and feta [DE]","Compound butter - Oregano-Tomato","0","PLANETARY MIXER, SCOOPER (BUTTER)","5875","6059","-184","Staged","","Post Blast","",""
"2026-08-31 - 1","37-2","REC-013943-4-004","FV0257A - Greek style ground beef and feta [DE]","Ground beef - Red Wine & Garlic Beef Ragu","0","BRAISER, IMMERSION BLENDER, SPICE PORTIONING","8231","6059","2172","Staged","","Post Blast","",""
"2026-08-31 - 1","37-3","REC-013943-4-004","FV0257A - Greek style ground beef and feta [DE]","Herbed feta","0","HAND MIX, OVEN","","6059","-6059","Staged","","Pre Blast","",""
"2026-08-31 - 1","37-4","REC-013943-4-004","FV0257A - Greek style ground beef and feta [DE]","Red peppers - Roasted diced ¼ red bell peppers","0","OVEN","8100","6059","2041","Staged","","Post Blast","",""
"2026-08-31 - 1","37-5","REC-013943-4-004","FV0257A - Greek style ground beef and feta [DE]","Sauce - Yia Yia's Creamy Greek Sauce - sour cream","0","CUPPING, HAND MIX, IMMERSION BLENDER, SPICE PORTIONING","","6059","-6059","Staged","","Pre Blast","",""
"2026-08-31 - 1","37-6","REC-013943-4-004","FV0257A - Greek style ground beef and feta [DE]","Spinach - Garlic Spinach - Frzn Spinach - less garlic","0","HAND MIX, OVEN","6325","6059","266","Staged","","Post Blast","",""
"2026-08-31 - 1","37-7","REC-013943-4-004","FV0257A - Greek style ground beef and feta [DE]","Tomatoes - Roasted cherry tomatoes","0","OVEN","6967","6059","908","Staged","","Post Blast","",""
"2026-08-31 - 1","37-8","REC-013943-4-004","FV0257A - Greek style ground beef and feta [DE]","Zucchini - Garlic Roasted Zucchini","0","OVEN","7259","6059","1200","Allocation Pending","","Post Blast","",""
"2026-08-31 - 1","37-69","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Carrots - Cooked Matchstick Carrots","0","OVEN","1143","1190","-47","Staged","","Post Blast","",""
"2026-08-31 - 1","37-70","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Cashews - Curried Cashews","0","HAND MARINADE, HAND MIX, OVEN, SPICE PORTIONING","2364","1190","1174","Staged","","Post Blast","",""
"2026-08-31 - 1","37-71","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Cauliflower - Tandoori Cauliflower Florets","0","HAND MIX, SPICE PORTIONING","1309","1190","119","Staged","","Post Blast","",""
"2026-08-31 - 1","37-72","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Compound butter - Curry Honey Butter","0","BRAISER, PLANETARY MIXER, SCOOPER (BUTTER), SPICE PORTIONING","900","1190","-290","Staged","","Post Blast","",""
"2026-08-31 - 1","37-73","REC-014311-4-004","FV0444A- [DE] Vegetarian Biryani","Corn - steamed corn kernels","0","OVEN","1455","1190","265","Staged","","Post Blast","",""
