"Type","Production Shift","Total Target","Total Mapped","Recipe WO #","Recipe Name","Recipe WO Mapped","Recipe WO Target","Recipe Plating Status","Recipe Manual Plating Status","Total Week Unlocked Volume","Total Week Mapped","Production Min Needs","Expiring Datetime","Expiring SubRecipe Name","Expiring Portions","Expiring License Plate #","Comment","Rollover Amount","Actual Best By Date","Best By SubRecipe Name"
"Recipe WO","2026-09-01 - 1","21056","7680","37-R14","FV0444A- [DE] Vegetarian Biryani","","1190","Not Started","","","","","","","","","","","",""
"Recipe WO","2026-09-01 - 1","21056","7680","37-R13","FV0651A - BBQ Chickpeas & Roasted Cabbage Slaw [DE]","","930","Not Started","","1038","","","","","","","","","",""
"Recipe WO","2026-09-01 - 1","21056","7680","37-R11","FV0123A - [DE] - Chicken Alfredo","","3616","Not Started","","","","","","","","","","","",""
"Recipe WO","2026-09-01 - 1","21056","7680","37-R17","FV4065B- Spicy Beef & Black Bean Chili [DE]","","3427","In Progress","","2487","3616","","","","","","","","",""
"Recipe WO","2026-09-01 - 1","21056","7680","37-R25","FV4027A  [DE]-Beef & BBQ sauce","","1898","In Progress","","3582","1728","","","","","","","","",""
"Recipe WO","2026-09-01 - 1","21056","7680","37-R1","FV0257A - Greek style ground beef and feta [DE]","","6059","In Progress","","2875","8368","","","","","","","","",""
"Recipe WO","2026-09-01 - 1","21056","7680","37-R27","FV0232A - Herb Crusted Chicken [DE]","","3936","Not Started","","","","","","","","","","","",""
"Recipe WO","2026-09-02 - 1","22899","11696","37-R21","FV0472A - Indian Butter Chicken [DE]","","2501","In Progress","","2018","2944","","","","","","","","",""
"Recipe WO","2026-09-02 - 1","22899","11696","37-R5","FV1404A Bulgogi Shredded Beef Bowl  [DE]","","4056","In Progress","","2440","5552","","","","","","","","",""
"Recipe WO","2026-09-02 - 1","22899","11696","37-R19","FV1368A - [DE] Cremini Mushrooms & Meatballs","","3510","Not Started","","","","","","","","","","","",""
"Recipe WO","2026-09-02 - 1","22899","11696","37-R29","FV4001A - [DE] -Grilled Chicken Fillet Pesto","","2946","Not Started","","","","","","","","","","","",""
"Recipe WO","2026-09-02 - 1","22899","11696","37-R33","FV0047A -Beef & pepper casserole [DE}","","2397","In Progress","","471","2464","","","","","","","","",""
"Recipe WO","2026-09-02 - 1","22899","11696","37-R9","FV4038A - [DE] Chicken in creamy mushroom sauce","","3527","In Progress","","505","5287","","","","","","","","",""
"Recipe WO","2026-09-02 - 1","22899","11696","37-R31","FV4108A -[DE]Sweet & Sour Chicken","","3962","In Progress","","443","5488","","","","","","","","",""
"Recipe WO","2026-09-03 - 1","24222","7184","37-R23","FV4006A - Pork tenderloin in sun dried tomato sauce [DE]","","1731","Not Started","","","","","","","","","","","",""
"Recipe WO","2026-09-03 - 1","24222","7184","37-R3","FV4101A -[DE]  Sticky Seeded Salmon & Potato-Dill Mash","","7288","In Progress","","1974","8039","5119","","","","","","","12.9.2026, 15:52 MESZ","Marinated Sticky Seeded Salmon"
"Recipe WO","2026-09-03 - 1","24222","7184","37-R15","FV0890A -[DE] Pork tenderloin with apple-mustard sauce","","3840","Not Started","","","","2718","","","","","","","",""
"Recipe WO","2026-09-03 - 1","24222","7184","37-R30","FV1444A - Basil Barramundi & Tomato Risotto [DE]","","3029","In Progress","","449","2224","","","","","","","","12.9.2026, 15:44 MESZ","Basil Garlic Barramundi"
"Recipe WO","2026-09-03 - 1","24222","7184","37-R35","FV0035A - Salmon with pesto [DE]","","4206","Not Started","","","","2813","","","","","","","","Salmon - garlic seasoning"
"Recipe WO","2026-09-03 - 1","24222","7184","37-R2","FV0257A - Greek style ground beef and feta [DE]","","2642","Completed","","2875","8368","4062","","","","","","","",""
"Recipe WO","2026-09-03 - 1","24222","7184","37-R18","FV4065B- Spicy Beef & Black Bean Chili [DE]","","1486","Completed","","2487","3616","2381","","","","","","","",""
"Recipe WO","2026-09-04 - 1","12755","6160","37-R6","FV1404A Bulgogi Shredded Beef Bowl  [DE]","","1865","Completed","","2440","5552","3891","","","","","","","",""
"Recipe WO","2026-09-04 - 1","12755","6160","37-R10","FV4038A - [DE] Chicken in creamy mushroom sauce","","1448","In Progress","","505","5287","3316","","","","","","","",""
"Recipe WO","2026-09-04 - 1","12755","6160","37-R12","FV0123A - [DE] - Chicken Alfredo","","1500","Not Started","","","","3302","","","","","","","",""
"Recipe WO","2026-09-04 - 1","12755","6160","37-R20","FV1368A - [DE] Cremini Mushrooms & Meatballs","","1644","Not Started","","","","3467","","","","","","","",""
"Recipe WO","2026-09-04 - 1","12755","6160","37-R22","FV0472A - Indian Butter Chicken [DE]","","1135","Completed","","2018","2944","2315","","","","","","","",""
"Recipe WO","2026-09-04 - 1","12755","6160","37-R26","FV4027A  [DE]-Beef & BBQ sauce","","965","In Progress","","3582","1728","1904","","","","","","","",""
"Recipe WO","2026-09-04 - 1","12755","6160","37-R28","FV0232A - Herb Crusted Chicken [DE]","","1594","Not Started","","","","3500","","","","","","","",""
"Recipe WO","2026-09-04 - 1","12755","6160","37-R32","FV4108A -[DE]Sweet & Sour Chicken","","1583","Completed","","443","5488","3591","","","","","","","",""
"Recipe WO","2026-09-04 - 1","12755","6160","37-R34","FV0047A -Beef & pepper casserole [DE}","","1021","In Progress","","471","2464","2268","","","","","","","",""
"Recipe WO","2026-09-05 - 1","7063","9047","37-R4","FV4101A -[DE]  Sticky Seeded Salmon & Potato-Dill Mash","","3142","In Progress","","1974","8039","9336","","","","","","","",""
"Recipe WO","2026-09-05 - 1","7063","9047","37-R36","FV0035A - Salmon with pesto [DE]","","1461","Not Started","","","","5038","","","","","","","","Salmon - garlic seasoning"
"Recipe WO","2026-09-05 - 1","7063","9047","37-R16","FV0890A -[DE] Pork tenderloin with apple-mustard sauce","","1654","Not Started","","","","4921","","","","","","","",""
"Recipe WO","2026-09-05 - 1","7063","9047","37-R24","FV4006A - Pork tenderloin in sun dried tomato sauce [DE]","","806","Not Started","","","","","","","","","","","",""
