Block,Code,Preference,Recipe Name,BENL,NORD,DE,Total,Total+Buffer,Run1 %,Sunday 06.09,Monday 07.09,Tuesday 08.09,Wednesday 09.09,Thursday 10.09,Friday 11.09,Saturday 12.09,Lines,People/h,Comment
CONTROL,,,,,,,,,,,,,,,,,,,
Control,HF Week,,,2026-W38,,,,,,,,,,,,,,,
Control,First Run Assumption,,,70%,,,,,,,,,,,,,,,
Control,Buffer Assumption,,,5%,,,,,,,,,,,,,,,
Control,Earliest Fresh Delivery,,,Saturday,,,,,,,,,,,,,,,
RECIPE MIX,,,,,,,,,,,,,,,,,,,
Recipe,FV4063C,Keto,Cheddar pulled beef,3939,2811,1708,8458,8881,70%,0,0,0,0,6217,0,2664,,,
Recipe,FV1169A,Perf,Salmon and Sweet Soy Dressing,4778,3303,1910,9991,10491,70%,0,0,0,7343,0,3148,0,,,
Recipe,FV0780A,CS,Whole Wheat Penne Bolognese,3457,2512,1633,7602,7982,70%,0,0,0,5510,0,2472,0,,,
PLATING SUMMARY,,,,,,,,,,,,,,,,,,,
Metric,unique meals,,,,,,,,0,0,7,7,7,4,4,,,,
Metric,total meals,,,,,,,,0,0,24663,26328,28168,10847,9056,,,,
Metric,per hour,,,,,,,,0,0,3523,3761,4024,1550,1294,,,,
Metric,lines,,,,,,,,0,0,2,2,2,2,2,,,,
Metric,available plating time,,,,,,,,0,0,14,29,29,14,14,,,,
Metric,needed plating time,,,,,,,,0,0,25,26,28,11,9,,,,
Metric,diff,,,,,,,,0,0,-10,2,1,4,5,,,,
KITCHEN START,,,,,,,,,,,,,,,,,,,
Kitchen,Sunday,Veggie,WOs as arrow chain,,,,,,,,,,,,,,,,
Kitchen,Sunday,Proteine,WOs as arrow chain,,,,,,,,,,,,,,,,
Kitchen,Monday,Veggie,WOs as arrow chain,,,,,,,,,,,,,,,,
Kitchen,Monday,Proteine,WOs as arrow chain,,,,,,,,,,,,,,,,
FRESH EINKAUF,,,,,,,,,,,,,,,,,,,
Fresh,Production Day,Needed By,Ingredient SKU,Ingredient Name,Qty kg,WOs,Recipes,Department,,,,,,,,,,,
Fresh,Sunday,Saturday,PHF-EXAMPLE,Example fresh item,0.00,"37-1, 37-4",FV0257A,Veggie,,,,,,,,,,,
Fresh,Monday,Saturday,DAI-EXAMPLE,Direct ingredient without submeal link,0.00,37-108,FVXXXX,Proteine,,,,,,,,,,,
