"Date Needed","Work Order Number","Recipe ID","Recipe Name","Sub Recipe Name","Production Minimum Needs Amount","Cook Methods","WO Cooked Portions","Target Portions","Cooked Portions Excess","Staging Status","Staging Comment","Kitchen Status","Unlocked ETA","Work Order Comment"
"2026-09-13 - 1","39-101","REC-013942-4-009","FV0169A - [DE] - Pork tenderloin in creamy garlic mustard sauce","Mash - Celery Root/Cauliflower Mash - cauli rice, even less sat fat","0","HAND MIX, OVEN","","1958","-1958","Staged","","Post Blast","","Wip 1"
"2026-09-13 - 1","39-102","REC-013942-4-009","FV0169A - [DE] - Pork tenderloin in creamy garlic mustard sauce","Pork tenderloin - Creamy Dijon Pork Tenderloin Batch","0","BRINE, GRILL, MARINADE, OVEN, SLICER","","1958","-1958","Staged","","Post Blast","","Wip 2"
"2026-09-13 - 1","39-104","REC-013942-4-009","FV0169A - [DE] - Pork tenderloin in creamy garlic mustard sauce","Sauce -Creamy Dijon Sauce-Less fat","0","BRAISER, HAND MIX, IMMERSION BLENDER, SPICE PORTIONING","","1958","-1958","Staged","","Post Blast","","Wip 1"
"2026-09-13 - 1","39-168","REC-014311-4-010","FV0444C- [DE] Vegetarian Biryani","Cashews - Curried Cashews","0","HAND MARINADE, HAND MIX, OVEN, SPICE PORTIONING","1000","735","265","Staged","","Post Blast","","Wip 1"
"2026-09-13 - 1","39-169","REC-014311-4-010","FV0444C- [DE] Vegetarian Biryani","Compound butter - Curry Honey Butter","0","BRAISER, PLANETARY MIXER, SCOOPER (BUTTER), SPICE PORTIONING","800","735","65","Staged","","Post Blast","","Wip 1
 1000pz"
"2026-09-13 - 1","39-174","REC-014311-4-010","FV0444C- [DE] Vegetarian Biryani","Rice - Biryani rice base - BiB Tomatoes","0","BRAISER, HAND MIX, IMMERSION BLENDER, OVEN, SPICE PORTIONING","829","735","94","Staged","","Post Blast","","Wip 1"
"2026-09-13 - 1","39-175","REC-014311-4-010","FV0444C- [DE] Vegetarian Biryani","Sauce - Indian Curry Yogurt Sauce","0","BRAISER, HAND MIX, IMMERSION BLENDER, SPICE PORTIONING","667","735","-68","Staged","","Post Blast","","Wip 1 
First to do"
"2026-09-13 - 1","39-66","REC-013856-4-001","FV0478A - [DE] Chickpea Curry","Chickpea Curry Batch","0","BRAISER, HAND MIX, IMMERSION BLENDER, OVEN, SPICE PORTIONING","1205","1158","47","Staged","","Post Blast","","Wip 1"
"2026-09-13 - 1","39-67","REC-013856-4-001","FV0478A - [DE] Chickpea Curry","Rice - Brown + Wild Rice - COOKED with curry","0","HAND MIX, OVEN","1072","1158","-86","Staged","","Post Blast","","Wip 1"
"2026-09-13 - 1","39-159","REC-013423-4-003","FV0601A - Mozzarella Burger & Roasted Potatoes [DE]","Mozzarella + Parsley Mix","0","HAND MIX","3822","3594","228","Staged","","Post Blast","","Wip 1"
