Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FV0024A - Chicken in tomato cream sauce [BNL],REC-013938-4-007,R,1,portions,Sauce-Sun Dried Tomato Sauce -Less Salt-Less Sat Fat,S,,140,grams,,SUB-032674-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
tomato cream sauce =  140g
chicken = 1 EA 160g raw, 120g cooked

","MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE",,0.90287,,,,,,,0.30865,5.4696,0.34185,PCK-00-151923-5,Main,
FV0024A - Chicken in tomato cream sauce [BNL],REC-013938-4-007,R,1,portions,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,S,,1,each,,SUB-013572-4-001,MARINADE / GRILL / OVEN / BLAST CHILLER,,,,0.7011,1,HAND_PORTIONED,Hand Portioned,BY_TRAY,,4.23288,0.26455,6.0375,0.37734,PCK-00-151923-5,Main,
FV0024A - Chicken in tomato cream sauce [BNL],REC-013938-4-007,R,1,portions,Cooked Courgette Noodles - No Salt,S,,100,grams,,SUB-013573-4-001,HAND MARINADE / OVEN / BLAST CHILLER,"2ND COMPARTMENT
Zucchini noodles -  100g

NET WEIGHT: 360g",,,0.68363,1,SCOOP,grey,NATURAL,,,0.22046,5.15981,0.32249,PCK-00-151923-5,2nd,

FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,R,1,portions,Mixed veg - Ratatouille Vegetable Batch,S,,255,grams,,SUB-013764-4-001,SPICE PORTIONING / BRAISER / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
ratatouille 255g
sunflower seed crunch 10g

",SCHWEFELDIOXIDE UND SULFITE,,0.86355,2,SCOOP,grey,LEVEL,,,0.56218,10.41617,0.65101,PCK-00-151923-5,Main,
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,R,1,portions,Sunflower seeds - Vegetable Ratatouille Toasted Seed Garnish,S,,10,grams,,SUB-013826-4-001,HAND MARINADE / OVEN / BLAST CHILLER,,,,0.98148,1,SCOOP,black,LEVEL,,,0.02205,0.3594,0.02246,PCK-00-151923-5,Main,
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,R,1,portions,Polenta less fat,S,,140,grams,,SUB-031689-4-001,SPICE PORTIONING / BRAISER / BLAST CHILLER,"2ND COMPARTMENT
Polenta - 140g

NET WEIGHT: 405g",MILCH (EINSCHLIESSLICH LAKTOSE),,0.86402,1,SCOOP,grey,LEVEL,,,0.30865,5.71555,0.35722,PCK-00-151923-5,2nd,

FV0130A - Pulled Chicken Burrito Bowl - [BNL],REC-014049-4-006,R,1,portions,Rice - Shredded Chicken Taco Bowl Rice & Beans - Parboiled Rice,S,,100,grams,,SUB-013698-4-001,HAND MIX / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

3 Compartment

MAIN COMPARTMENT
rice & beans - 100g
roasted peppers - 45g
shredded chicken - 100g cooked
cheese - 15g 
Roasted green onions - 5g
",,,1.00197,1,SCOOP,grey,LEVEL,,,0.22046,3.52047,0.22003,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl - [BNL],REC-014049-4-006,R,1,portions,Roasted Green and Red Bell Peppers - Diced - reduced salt,S,,45,grams,,SUB-013883-4-001,OVEN / BLAST CHILLER,,,,0.79997,1,SCOOP,red,LEVEL,,,0.09921,1.98423,0.12401,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl - [BNL],REC-014049-4-006,R,1,portions,Pulled Chicken - Batch for Taco Bowl,S,,100,grams,,SUB-014048-4-001,MARINADE / OVEN / HOT SHREDDER / BLAST CHILLER,,,,0.71934,1,SCOOP,grey,LEVEL,,,0.22046,4.90364,0.30648,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl - [BNL],REC-014049-4-006,R,1,portions,"FA-DE Cheese, White Cheddar, Shredded /Käse, weißer Cheddar, gerieben",I,DAI-00-139135-3,15,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,,,,,,,0.03307,0.52911,0.03307,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl - [BNL],REC-014049-4-006,R,1,portions,Roasted Green Onions,S,,5,grams,,SUB-023370-4-001,OVEN / BLAST CHILLER,,,,0.77467,,,,,,,0.01102,0.22767,0.01423,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl - [BNL],REC-014049-4-006,R,1,portions,Corn - Red Chili pulled Pork,S,,90,grams,,SUB-013700-4-001,OVEN / BLAST CHILLER,"2ND COMPARTMENT
corn salsa - 90g",,,0.86639,1,SCOOP,beige,LEVEL,,,0.19842,3.66423,0.22901,PCK-00-151924-5,2nd,
FV0130A - Pulled Chicken Burrito Bowl - [BNL],REC-014049-4-006,R,1,portions,Sauce - Cilantro Sour Cream,S,,44,grams,,SUB-013701-4-001,IMMERSION BLENDER / CUPPING,"3RD COMPARTMENT
cilantro sour cream (cup) - 44g

NET WEIGHT: 399g",MILCH (EINSCHLIESSLICH LAKTOSE),,0.8912,,,,,,,0.097,1.74153,0.10885,PCK-00-151924-5,3rd,

FV0130A - Pulled Chicken Burrito Bowl - [DE],REC-014049-4-005,R,1,portions,Rice - Shredded Chicken Taco Bowl Rice & Beans - Parboiled Rice,S,,100,grams,,SUB-013698-4-001,HAND MIX / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

3 Compartment

MAIN COMPARTMENT
rice & beans - 100g
roasted peppers - 45g
shredded chicken - 100g cooked
cheese - 15g 
Roasted green onions - 5g
",,,1.00197,1,SCOOP,grey,LEVEL,,,0.22046,3.52047,0.22003,PCK-00-151924-5,Main,
