Recipe Name,Recipe ID,Sub-Recipe 1 Name,Sub-Recipe 1 ID,Sub-Recipe 1 Quantity,Sub-Recipe 1 UOM,Sub-Recipe 1 Recipe Categories,Sub-Recipe 2 Name,Sub-Recipe 2 ID,Sub-Recipe 2 Quantity,Sub-Recipe 2 UOM,Sub-Recipe 2 Recipe Categories,Sub-Recipe 3 Name,Sub-Recipe 3 ID,Sub-Recipe 3 Quantity,Sub-Recipe 3 UOM,Sub-Recipe 3 Recipe Categories,Sub-Recipe 4 Name,Sub-Recipe 4 ID,Sub-Recipe 4 Quantity,Sub-Recipe 4 UOM,Sub-Recipe 4 Recipe Categories,Ingredient,Ingredient ID,Gross Ingredient Qty,Net Ingredient Qty,Ingredient UOM,Ingredient Allergen Type,Sub Allergen Type,Sub-Recipe Yield %,Qty Converted to Weight,Qty Unit
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Mash - Garlic Herb Mashed Cauliflower - Rice,SUB-013551-4-001,110,grams,"BLAST CHILLER, HAND MIX",Steamed Cauliflower Rice,SUB-029075-4-001,84.29,grams,OVEN,,,,,,,,,,,"FA-DE Cauliflower, Riced, IQF /Blumenkohl, Reis, IQF",PHF-00-139233-1,88.76,88.76,grams,,,0.94962,88.76,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Mash - Garlic Herb Mashed Cauliflower - Rice,SUB-013551-4-001,110,grams,"BLAST CHILLER, HAND MIX",,,,,,,,,,,,,,,,"FA-DE Cheese, Cream, 13% Fat (Milk) /Käse, Sahne, 13% Fett",DAI-00-139122-3,12.16,12.16,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.97998,12.16,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Mash - Garlic Herb Mashed Cauliflower - Rice,SUB-013551-4-001,110,grams,"BLAST CHILLER, HAND MIX",,,,,,,,,,,,,,,,"FA-DE Butter, Unsalted /Butter, ungesalzen",DAI-00-139146-3,12.06,12.06,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.97998,12.06,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Mash - Garlic Herb Mashed Cauliflower - Rice,SUB-013551-4-001,110,grams,"BLAST CHILLER, HAND MIX",Roasted Garlic (use),SUB-013367-4-001,1.85,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Garlic, Peeled, Whole Cloves [10kg] /Knoblauch, geschält, ganze Nelken [10kg]",PHF-00-139197-3,2.04,2.04,grams,,,0.51841,2.04,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Mash - Garlic Herb Mashed Cauliflower - Rice,SUB-013551-4-001,110,grams,"BLAST CHILLER, HAND MIX",Roasted Garlic (use),SUB-013367-4-001,1.85,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,1.53,1.53,grams,,,0.51841,1.53,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Mash - Garlic Herb Mashed Cauliflower - Rice,SUB-013551-4-001,110,grams,"BLAST CHILLER, HAND MIX",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.62,0.62,grams,,,0.97998,0.62,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Mash - Garlic Herb Mashed Cauliflower - Rice,SUB-013551-4-001,110,grams,"BLAST CHILLER, HAND MIX",,,,,,,,,,,,,,,,"FA-DE Parsley, Chopped /Petersilie, gehackt",PHF-00-139215-3,0.39,0.39,grams,,,0.97998,0.39,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Mash - Garlic Herb Mashed Cauliflower - Rice,SUB-013551-4-001,110,grams,"BLAST CHILLER, HAND MIX",,,,,,,,,,,,,,,,"FA-DE Spice, Chives Dried /Gewürze, getrocknete Schnittlauch",SPI-00-139322-5,0.08,0.08,grams,,,0.97998,0.08,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Mash - Garlic Herb Mashed Cauliflower - Rice,SUB-013551-4-001,110,grams,"BLAST CHILLER, HAND MIX",,,,,,,,,,,,,,,,"FA-DE Spice, Green Onion Granulated /Gewürz, grüne Zwiebel granuliert",SPI-00-139357-5,0.08,0.08,grams,,,0.97998,0.08,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Mash - Garlic Herb Mashed Cauliflower - Rice,SUB-013551-4-001,110,grams,"BLAST CHILLER, HAND MIX",,,,,,,,,,,,,,,,"FA-DE Spice, Tarragon, Dry /Gewürze, Estragon, Trockenmasse",SPI-00-139382-5,0.06,0.06,grams,,,0.97998,0.06,grams
