Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FV0232A - Herb Crusted Chicken [DE],REC-013836-4-006,R,1,portions,Herb-Crusted Chicken - 1 piece,S,,1,each,,SUB-013811-4-001,MARINADE / CRUSTED / OVEN / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
mash on bottom - 100g
crusted chicken on top - 1 EA

","EIER, MANDELN, MILCH (EINSCHLIESSLICH LAKTOSE), SCHALENFRÜCHTE, SENF",,0.73684,,,,,,4.93836,0.30865,6.70206,0.41888,PCK-00-151923-5,Main,
FV0232A - Herb Crusted Chicken [DE],REC-013836-4-006,R,1,portions,Mash - Garlic Herb Mashed Cauliflower - Rice,S,,100,grams,,SUB-013551-4-001,HAND MIX / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.97998,1,SCOOP,beige,LEVEL,,,0.22046,3.59945,0.22497,PCK-00-151923-5,Main,
FV0232A - Herb Crusted Chicken [DE],REC-013836-4-006,R,1,portions,Almonds - Garlic & Black Pepper Toasted Almonds,S,,6,grams,,SUB-013553-4-001,HAND MARINADE / OVEN / BLAST CHILLER,"2ND COMPARTMENT
1. green beans - 80g
2. toasted almonds - 6g
3. butter - 13g (1/2 scoop)

Net Weight: 339g","MANDELN, SCHALENFRÜCHTE",,0.81278,1,SCOOP,silver #110,NATURAL,,,0.01323,0.2604,0.01627,PCK-00-151923-5,2nd,
FV0232A - Herb Crusted Chicken [DE],REC-013836-4-006,R,1,portions,Green beans - oil and sea salt,S,,80,grams,,SUB-013552-4-001,OVEN / BLAST CHILLER,,,,0.76705,1,SCOOP,white,LEVEL,,,0.17637,3.6789,0.22993,PCK-00-151923-5,2nd,
FV0232A - Herb Crusted Chicken [DE],REC-013836-4-006,R,1,portions,Compound butter - Garlic Lemon Butter,S,,13,grams,,SUB-013547-4-001,PLANETARY MIXER / SCOOPER (BUTTER) / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.90575,13,HAND_PORTIONED,Hand Portioned,BY_TRAY,,,0.02866,0.50628,0.03164,PCK-00-151923-5,2nd,

FV0322A - Sour Cream & Chive Chicken [DE],REC-014219-4-003,R,1,portions,Sour Cream and Chive Mashed Yukons (more salt),S,,110,grams,,SUB-014217-4-001,PLANETARY MIXER / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment
MAIN COMPARTMENT
Next to each other: 
1) 110g sour cream and chive mash
2) 60g broccoli
1 pc Chicken


",MILCH (EINSCHLIESSLICH LAKTOSE),,0.95705,1,SCOOP,grey,LEVEL,,,0.24251,4.05425,0.25339,PCK-00-151923-5,Main,
FV0322A - Sour Cream & Chive Chicken [DE],REC-014219-4-003,R,1,portions,Broccoli - Roasted S&P,S,,60,grams,,SUB-016200-4-001,OVEN / BLAST CHILLER,,,,0.7425,,,,,,,0.13228,2.85043,0.17815,PCK-00-151923-5,Main,
FV0322A - Sour Cream & Chive Chicken [DE],REC-014219-4-003,R,1,portions,Grilled Chicken Breast Marinade #4 - Garlic Herb (EACH),S,,1,each,,SUB-014216-4-001,MARINADE / GRILL / OVEN / BLAST CHILLER,,SCHWEFELDIOXIDE UND SULFITE,,0.72948,,,,,,4.23288,0.26455,5.80257,0.36266,PCK-00-151923-5,Main,
FV0322A - Sour Cream & Chive Chicken [DE],REC-014219-4-003,R,1,portions,S&P Roasted Green Beans 1,S,,110,grams,,SUB-014184-4-001,OVEN / BLAST CHILLER,"2ND COMPARTMENT
110g green beans
butter (10g)

410g net weight",,,0.69891,,,,,,,0.24251,5.55167,0.34698,PCK-00-151923-5,2nd,
FV0322A - Sour Cream & Chive Chicken [DE],REC-014219-4-003,R,1,portions,Chive-Garlic Butter,S,,10,grams,,SUB-014218-4-001,PLANETARY MIXER / SCOOPER (BUTTER) / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.96268,,,,,,,0.02205,0.36641,0.0229,PCK-00-151923-5,2nd,

FV0401A - Pulled chicken with cheddar and bacon [BNL],REC-013941-4-008,R,1,portions,Sauce - Crack Chicken Cheese Mix,S,,50,grams,,SUB-013714-4-001,PLANETARY MIXER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

3 Compartment

MAIN COMPARTMENT
50g = cream cheese mixture 
140g = chicken
10g = cheddar cheese
10g = crispy bacon
10g = green onions",MILCH (EINSCHLIESSLICH LAKTOSE),,0.98,1,SCOOP,yellow,LEVEL,,,0.11023,1.7997,0.11248,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [BNL],REC-013941-4-008,R,1,portions,Shredded chicken - Keto Crack Chicken Thigh Batch - Shredder,S,,140,grams,,SUB-013715-4-002,MARINADE / OVEN / HOT SHREDDER / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.6309,1,SCOOP,white,LEVEL,,,0.30865,7.82751,0.48922,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [BNL],REC-013941-4-008,R,1,portions,Extra Crispy Diced Bacon,S,,10,grams,,SUB-013468-4-001,OVEN / DRAIN / BLAST CHILLER,,,,0.36735,1,SCOOP,purple,LEVEL,,,0.02205,0.96022,0.06001,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [BNL],REC-013941-4-008,R,1,portions,Roasted Green Onions,S,,10,grams,,SUB-023370-4-001,OVEN / BLAST CHILLER,,,,0.77467,1,SCOOP,purple,LEVEL,,,0.02205,0.45534,0.02846,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [BNL],REC-013941-4-008,R,1,portions,"FA-DE Cheese, White Cheddar, Shredded /Käse, weißer Cheddar, gerieben",I,DAI-00-139135-3,10,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,,,,,,,0.02205,0.35274,0.02205,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [BNL],REC-013941-4-008,R,1,portions,Garlic Broccoli - less salt,S,,55,grams,,SUB-014208-4-002,OVEN / BLAST CHILLER,"2ND COMPARTMENT
55g = broccoli 
",,,0.77149,1,SCOOP,blue,LEVEL,,,0.12125,2.51472,0.15717,PCK-00-151924-5,2nd,
