Recipe Name,Recipe ID,Sub-Recipe 1 Name,Sub-Recipe 1 ID,Sub-Recipe 1 Quantity,Sub-Recipe 1 UOM,Sub-Recipe 1 Recipe Categories,Sub-Recipe 2 Name,Sub-Recipe 2 ID,Sub-Recipe 2 Quantity,Sub-Recipe 2 UOM,Sub-Recipe 2 Recipe Categories,Sub-Recipe 3 Name,Sub-Recipe 3 ID,Sub-Recipe 3 Quantity,Sub-Recipe 3 UOM,Sub-Recipe 3 Recipe Categories,Sub-Recipe 4 Name,Sub-Recipe 4 ID,Sub-Recipe 4 Quantity,Sub-Recipe 4 UOM,Sub-Recipe 4 Recipe Categories,Ingredient,Ingredient ID,Gross Ingredient Qty,Net Ingredient Qty,Ingredient UOM,Ingredient Allergen Type,Sub Allergen Type,Sub-Recipe Yield %,Qty Converted to Weight,Qty Unit
Almonds - Garlic & Black Pepper Toasted Almonds,SUB-013553-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Almond, Sliced, Blanched /Mandeln, geschnitten, blanchiert",SPI-00-139147-5,7.94,7.94,grams,"MANDELN, SCHALENFRÜCHTE",,,7.94,grams
Almonds - Garlic & Black Pepper Toasted Almonds,SUB-013553-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,0.57,0.57,grams,,,,0.57,grams
Almonds - Garlic & Black Pepper Toasted Almonds,SUB-013553-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,0.28,0.28,grams,,,,0.28,grams
Almonds - Garlic & Black Pepper Toasted Almonds,SUB-013553-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,0.07,0.07,grams,,,,0.07,grams
Almonds - Garlic & Black Pepper Toasted Almonds,SUB-013553-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.06,0.06,grams,,,,0.06,grams
Balsamic Cherry Tomatoes,SUB-014243-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,9.37,9.37,grams,,,,9.37,grams
Balsamic Cherry Tomatoes,SUB-014243-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Tomatoes, Cherry/Tomaten, Kirsche",PHF-00-139190-3,2780,2780,grams,,,,2780,grams
Balsamic Cherry Tomatoes,SUB-014243-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,131.12,131.12,grams,,,,131.12,grams
Balsamic Cherry Tomatoes,SUB-014243-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Vinegar, Balsamic /Essig, Balsamico",PRO-00-139298-5,93.66,93.66,grams,SCHWEFELDIOXIDE UND SULFITE,,,93.66,grams
Balsamic Cherry Tomatoes,SUB-014243-4-001,Basil - Picked Basil Leaves,SUB-013424-4-001,32.78,grams,"DEBOX, STAGING",,,,,,,,,,,,,,,,"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,58.55,58.55,grams,,,0.55986,58.55,grams
Balsamic Cherry Tomatoes,SUB-014243-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Onion, Red, Diced 5mm /Zwiebeln, rot, gewürfelt 5 mm",PHF-00-139213-3,257.55,257.55,grams,,,,257.55,grams
Basil - Picked Basil Leaves,SUB-013424-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,2840,2840,grams,,,,2840,grams
Basil Kill Step,SUB-024331-4-001,Basil - Picked Basil Leaves,SUB-013424-4-001,1000,grams,"DEBOX, STAGING",,,,,,,,,,,,,,,,"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,1786.16,1786.16,grams,,,0.55986,1786.16,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",,,,,,,,,,,,,,,,"FA-DE Beef, Ground, 80/20 /Rindfleisch, gemahlen, 80/20",PTN-00-139319-3,161.44,161.44,grams,,,0.97143,161.44,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Onion, Spanish, Diced 5mm /Zwiebel, Spanisch, gewürfelt 5 mm",PHF-00-139212-3,7.94,7.94,grams,,,0.94991,7.94,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,4.54,4.54,grams,SCHWEFELDIOXIDE UND SULFITE,,0.94991,4.54,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,3.03,3.03,grams,,,0.94991,3.03,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,2.27,2.27,grams,,,0.94991,2.27,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Spice, Onion Granulated /Gewürze, Zwiebeln granuliert",SPI-00-139370-5,4.54,4.54,grams,,,0.94991,4.54,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.33,0.33,grams,,,0.94991,0.33,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Burger Stock,SUB-031810-4-001,16.75,grams,IMMERSION BLENDER,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,15.28,15.28,grams,,,0.98807,15.28,grams
