"s","Buffer BNL","(add)","12","Buffer NOR","(add)","12","PO - Buffer Defaults","2.00%","","PO - Buffer DE Defaults","-10%","",""
"","","","","Buffer DE","(add)","12","","","","PO - Buffer DE Defaults","-5%","",""
"Week number:","W19","W19","","","","","","","","","","",""
"PASTE FROM D4 OUTPUT >>","","","","","","","COUNT WITH BUFFER","","","","IMPORTS FROM MENU DATABASE","",""
"Slot BNL","Slot NOR","Slot GER","Week","Count BNL","Count NOR","Count GER","BNL Count w/ buffer","NOR Count w/ buffer","DE Count w/ buffer","Total Count w/ buffer","Recipe Code","Recipe Name",""
"401","451","301","W01","2,160","892","405","25,920","904","417","27,241","FE0322O","Sour Cream & Chive Chicken",""
"402","452","302","W01","1,621","620","258","19,452","632","270","20,354","FE4015A","Grilled chicken and ratatouille",""
"403","453","303","W01","1,804","726","328","21,648","738","340","22,726","FE0849A","Courgette-spaghetti bolognese",""
"404","454","304","W01","1,758","768","351","21,096","780","363","22,239","FE4040B","Chicken in creamy basil sauce",""
"405","455","305","W01","1,420","656","321","17,040","668","333","18,041","FE0271B","Cranberry Chicken ",""
"406","456","306","W01","1,120","454","238","13,440","466","250","14,156","FE4053A","#N/A",""
"407","457","307","W01","870","621","193","10,440","633","205","11,278","FE4060A","Artichoke & Spinach Pork tenderloin",""
"408","458","308","W01","1,286","853","241","15,432","865","253","16,550","FE0036E","Salmon on cheesy cauliflower rice",""
"409","459","309","W01","321","202","78","321","214","90","625","FE0121B","#N/A",""
"410","460","310","W01","258","220","56","258","232","68","558","FE0090C","Ratatouille of zucchini and pepper",""
"411","461","311","W01","753","634","140","753","646","152","1,551","FE0384K","Chive & Garlic Chicken",""
"412","462","312","W01","976","835","195","976","847","207","2,030","FE1465A","Caribbean Mango Salsa Salmon",""
"413","463","313","W01","787","448","126","787","460","138","1,385","FE4071A","Pulled Jerk Chicken & Rice",""
"414","464","314","W01","407","288","82","407","300","94","801","FE1776A","Fire-Roasted Tomato & Feta Shrimp",""
"415","465","315","W01","495","243","112","495","255","124","874","FE4065A","Spicy Beef & Black Bean Chili",""
"416","466","316","W01","310","189","72","310","201","84","595","FE0025M","Chicken in lemon-capers sauce",""
"417","467","317","W01","328","217","76","328","229","88","645","FE0565D","Pork tenderloin with caramelized onion",""
"418","468","318","W01","343","176","48","343","188","60","591","FE4048A","#N/A",""
"506","556","806","W01","66","32","14","66","32","26","124","FEA006A","Garlic Herb Grilled Chicken",""
"401","451","301","W02","4,591","2,481","1,060","55,092","2,493","1,072","58,657","FE4015A","Grilled chicken and ratatouille",""
"402","452","302","W02","3,372","1,794","770","40,464","1,806","782","43,052","FE0426B","Grilled chicken fillet and potato leek mash",""
"403","453","303","W02","3,957","1,908","977","47,484","1,920","989","50,393","FE0713B","Cabbage in cheese sauce with minced beef",""
"404","454","304","W02","4,232","2,272","1,008","50,784","2,284","1,020","54,088","FE0970B","Caramelized Onion & Emmental Fondue Chicken",""
"405","455","305","W02","3,417","2,031","959","41,004","2,043","971","44,018","FE0224C","Chicken à la Florentine",""
"406","456","306","W02","2,727","1,394","793","32,724","1,406","805","34,935","FE0198D","Spicy chicken with jalapeño, lime and cheddar",""
"407","457","307","W02","1,961","1,077","489","23,532","1,089","501","25,122","FE4010B","Grilled pork tenderloin and tomato butter",""
"408","458","308","W02","1,991","1,089","620","23,892","1,101","632","25,625","FE1031A","Salmon Dijonnaise",""
"409","459","309","W02","689","266","168","689","278","180","1,147","FE0090C","Ratatouille of zucchini and pepper",""
"410","460","310","W02","614","282","215","614","294","227","1,135","FE0121C","Mexican style corn cake",""
