"","","F&F (Emp) Starts","F&F Starts","","Paid Marketing Starts(NL)","","Paid Marketing Starts(BE)","<< Dutch Regions only","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HF Week","","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W37","W38","W39","W40","W41","W42","W43","W44","W45","W46","W47","W48","W49","W50","W51","W52","W01","W02","W03","W04","W05","W06","W07","W08","W09","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21","W22","W23","W24","W25","W26","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W37","W38","W39","W40","W41","W42","W43","W44","W45","W46","W47","W48","W49","W50","W51","W52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Order Cutoff Date (Weds 11:59 pm)","","28-Jun-2023","5-Jul-2023","12-Jul-2023","19-Jul-2023","26-Jul-2023","2-Aug-2023","9-Aug-2023","16-Aug-2023","23-Aug-2023","30-Aug-2023","6-Sep-2023","13-Sep-2023","20-Sep-2023","27-Sep-2023","4-Oct-2023","11-Oct-2023","18-Oct-2023","25-Oct-2023","1-Nov-2023","8-Nov-2023","15-Nov-2023","22-Nov-2023","29-Nov-2023","6-Dec-2023","13-Dec-2023","20-Dec-2023","27-Dec-2023","3-Jan-2024","10-Jan-2024","17-Jan-2024","24-Jan-2024","31-Jan-2024","7-Feb-2024","14-Feb-2024","21-Feb-2024","28-Feb-2024","6-Mar-2024","13-Mar-2024","20-Mar-2024","27-Mar-2024","3-Apr-2024","10-Apr-2024","17-Apr-2024","24-Apr-2024","1-May-2024","8-May-2024","15-May-2024","22-May-2024","29-May-2024","5-Jun-2024","12-Jun-2024","19-Jun-2024","26-Jun-2024","3-Jul-2024","10-Jul-2024","17-Jul-2024","24-Jul-2024","31-Jul-2024","7-Aug-2024","14-Aug-2024","21-Aug-2024","28-Aug-2024","4-Sep-2024","11-Sep-2024","18-Sep-2024","25-Sep-2024","2-Oct-2024","9-Oct-2024","16-Oct-2024","23-Oct-2024","30-Oct-2024","6-Nov-2024","13-Nov-2024","20-Nov-2024","27-Nov-2024","4-Dec-2024","11-Dec-2024","18-Dec-2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"First Delivery Day (Sunday)","","2-Jul-2023","9-Jul-2023","16-Jul-2023","23-Jul-2023","30-Jul-2023","6-Aug-2023","13-Aug-2023","20-Aug-2023","27-Aug-2023","3-Sep-2023","10-Sep-2023","17-Sep-2023","24-Sep-2023","1-Oct-2023","8-Oct-2023","15-Oct-2023","22-Oct-2023","29-Oct-2023","5-Nov-2023","12-Nov-2023","19-Nov-2023","26-Nov-2023","3-Dec-2023","10-Dec-2023","17-Dec-2023","24-Dec-2023","31-Dec-2023","7-Jan-2024","14-Jan-2024","21-Jan-2024","28-Jan-2024","4-Feb-2024","11-Feb-2024","18-Feb-2024","25-Feb-2024","3-Mar-2024","10-Mar-2024","17-Mar-2024","24-Mar-2024","31-Mar-2024","7-Apr-2024","14-Apr-2024","21-Apr-2024","28-Apr-2024","5-May-2024","12-May-2024","19-May-2024","26-May-2024","2-Jun-2024","9-Jun-2024","16-Jun-2024","23-Jun-2024","30-Jun-2024","7-Jul-2024","14-Jul-2024","21-Jul-2024","28-Jul-2024","4-Aug-2024","11-Aug-2024","18-Aug-2024","25-Aug-2024","1-Sep-2024","8-Sep-2024","15-Sep-2024","22-Sep-2024","29-Sep-2024","6-Oct-2024","13-Oct-2024","20-Oct-2024","27-Oct-2024","3-Nov-2024","10-Nov-2024","17-Nov-2024","24-Nov-2024","1-Dec-2024","8-Dec-2024","15-Dec-2024","22-Dec-2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total Meals","","626","901","657","1384","1641","2918","3452","4670","6059","6917","7753","8531","9559","10147","11140","12276","12763","12925","13831","13635","13589","12972","11918","12188","10633","5435","5796","9904","14101","17468","20787","22750","23854","24953","26682","28988","29503","28788","29572","28377","30313","32540","33401","33323","33863","37643","38911","41881","44870","48344","46830","43510","43118","45455","43401","42323","41467","44729","46687","47146","48496","52519","58077","58968","60021","66741","66841","65671","64931","67311","78715","76309","71621","73421","68953","64977","58975","33036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Boxes - NL","","136","198","141","196","240","347","391","487","651","736","779","800","905","1,008","1,058","1,147","1,243","1,350","1,358","1,328","1,317","1,277","1,171","1,225","1,069","551","642","1,043","1,465","1,658","1,905","2,235","2,370","2,377","2,497","2,585","2,714","2,705","2,796","2,752","2,991","2,959","3,004","3,115","3,034","3,236","3,145","3,464","3,599","3,778","3,735","3,571","3,609","3,606","3,452","3,327","3,269","3,255","3,278","3,273","3,504","3,710","3,919","4,005","4,312","4,841","4,951","4,817","4,685","4,518","4,682","4,643","4,161","4,359","4,097","3,684","3,427","2,092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Meals - NL","","626","901","657","1,324","1,624","2,343","2,645","3,294","4,403","4,973","5,266","5,408","6,118","6,814","7,152","7,754","8,403","9,126","9,180","8,977","8,903","8,633","7,916","8,281","7,226","3,725","4,186","6,957","10,053","11,556","13,278","15,712","16,092","16,520","17,279","18,017","19,025","18,665","19,628","19,649","21,087","20,772","20,938","21,338","20,874","22,458","21,543","24,213","25,229","26,257","25,734","24,604","24,974","25,098","23,957","22,956","22,295","22,232","22,422","22,289","23,827","25,228","26,806","27,474","29,580","33,354","33,716","32,370","31,249","30,497","31,510","31,015","28,253","29,728","27,655","25,014","23,269","14,121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Boxes - BE","","0","0","0","11","3","101","142","242","291","342","437","462","509","493","590","669","645","562","688","689","693","642","592","578","504","253","247","451","607","830","1,052","1,038","1,120","1,231","1,349","1,565","1,512","1,480","1,456","1,276","1,416","1,601","1,649","1,577","1,481","1,684","1,636","1,725","1,898","2,070","1,953","1,759","1,599","1,644","1,546","1,441","1,386","1,516","1,442","1,591","1,624","1,798","1,887","1,930","1,964","2,005","2,014","2,040","1,989","1,775","1,921","1,924","1,976","1,971","1,875","1,757","1,745","1,011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Meals - BE","","0","0","0","60","17","575","807","1,376","1,656","1,944","2,487","3,123","3,441","3,333","3,988","4,522","4,360","3,799","4,651","4,658","4,686","4,340","4,002","3,907","3,407","1,710","1,610","2,947","4,049","5,911","7,509","7,038","7,762","8,432","9,403","10,971","10,478","10,123","9,944","8,728","8,949","10,983","11,279","10,850","10,189","11,552","11,354","11,851","12,982","14,076","13,280","11,820","10,809","11,163","10,559","9,784","9,258","10,142","9,560","10,548","10,865","12,029","12,549","12,989","11,450","13,253","12,104","13,709","12,889","11,573","12,487","12,679","12,903","12,890","12,206","11,579","11,325","6,521","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Boxes - TK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","60","123","129","98","206","233","363","380","455","554","584","523","481","688","655","675","709","868","934","913","896","965","1,243","1,264","1,251","1,312","1,440","1,256","1,395","1,312","1,452","1,568","1,434","1,363","1,312","1,384","1,138","573","773","1,230","1,712","1,580","1,544","1,535","1,627","1,634","1,661","1,639","1,779","1,620","1,590","1,391","1,561","1,268","1,285","1,380","1,523","1,523","1,439","1,390","1,493","1,594","1,502","1,407","1,277","1,382","1,244","1,137","1,209","1,404","1,540","1,571","1,665","1,681","1,904","","","","","","","","","","","","",""
