"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W37","W38","W39","W40","W41","W42","W43","W44","W45","W46","W47","W48","W49","W50","W51","W52","W01","W02","W03","W04","W05","W06","W07","W08","W09","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21","W22","W23","W24","W25","W26","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W37","W38","W39","W40","W41","W42","W43","W44","W45","W46","W47","W48","W49","W50","W51","W52","W01","W02","W03","W04","W05","W06","W07","W08","W09","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21","W22","W23","W24","W25","W26","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W37","W38","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5-Mar-2025","12-Mar-2025","19-Mar-2025","26-Mar-2025","2-Apr-2025","9-Apr-2025","16-Apr-2025","23-Apr-2025","30-Apr-2025","7-May-2025","14-May-2025","21-May-2025","28-May-2025","4-Jun-2025","11-Jun-2025","18-Jun-2025","25-Jun-2025","2-Jul-2025","9-Jul-2025","16-Jul-2025","23-Jul-2025","30-Jul-2025","6-Aug-2025","13-Aug-2025","20-Aug-2025","27-Aug-2025","3-Sep-2025","10-Sep-2025","17-Sep-2025","","","","","","","","","","",""
"","","","","28-Jun-2023","5-Jul-2023","12-Jul-2023","19-Jul-2023","26-Jul-2023","2-Aug-2023","9-Aug-2023","16-Aug-2023","23-Aug-2023","30-Aug-2023","6-Sep-2023","13-Sep-2023","20-Sep-2023","27-Sep-2023","4-Oct-2023","11-Oct-2023","18-Oct-2023","25-Oct-2023","1-Nov-2023","8-Nov-2023","15-Nov-2023","22-Nov-2023","29-Nov-2023","6-Dec-2023","13-Dec-2023","20-Dec-2023","27-Dec-2023","3-Jan-2024","10-Jan-2024","17-Jan-2024","24-Jan-2024","31-Jan-2024","7-Feb-2024","14-Feb-2024","21-Feb-2024","28-Feb-2024","6-Mar-2024","13-Mar-2024","20-Mar-2024","27-Mar-2024","3-Apr-2024","10-Apr-2024","17-Apr-2024","24-Apr-2024","1-May-2024","8-May-2024","15-May-2024","22-May-2024","29-May-2024","5-Jun-2024","12-Jun-2024","19-Jun-2024","26-Jun-2024","3-Jul-2024","10-Jul-2024","17-Jul-2024","24-Jul-2024","31-Jul-2024","7-Aug-2024","14-Aug-2024","21-Aug-2024","28-Aug-2024","4-Sep-2024","11-Sep-2024","18-Sep-2024","25-Sep-2024","2-Oct-2024","9-Oct-2024","16-Oct-2024","23-Oct-2024","30-Oct-2024","6-Nov-2024","13-Nov-2024","20-Nov-2024","27-Nov-2024","4-Dec-2024","11-Dec-2024","18-Dec-2024","","","","","","","","","","","9-Mar-2025","16-Mar-2025","23-Mar-2025","30-Mar-2025","6-Apr-2025","13-Apr-2025","20-Apr-2025","27-Apr-2025","4-May-2025","11-May-2025","18-May-2025","25-May-2025","1-Jun-2025","8-Jun-2025","15-Jun-2025","22-Jun-2025","29-Jun-2025","6-Jul-2025","13-Jul-2025","20-Jul-2025","27-Jul-2025","3-Aug-2025","10-Aug-2025","17-Aug-2025","24-Aug-2025","31-Aug-2025","7-Sep-2025","14-Sep-2025","21-Sep-2025","","","","","","","","","","",""
"","","","","2-Jul-2023","9-Jul-2023","16-Jul-2023","23-Jul-2023","30-Jul-2023","6-Aug-2023","13-Aug-2023","20-Aug-2023","27-Aug-2023","3-Sep-2023","10-Sep-2023","17-Sep-2023","24-Sep-2023","1-Oct-2023","8-Oct-2023","15-Oct-2023","22-Oct-2023","29-Oct-2023","5-Nov-2023","12-Nov-2023","19-Nov-2023","26-Nov-2023","3-Dec-2023","10-Dec-2023","17-Dec-2023","24-Dec-2023","31-Dec-2023","7-Jan-2024","14-Jan-2024","21-Jan-2024","28-Jan-2024","4-Feb-2024","11-Feb-2024","18-Feb-2024","25-Feb-2024","3-Mar-2024","10-Mar-2024","17-Mar-2024","24-Mar-2024","31-Mar-2024","7-Apr-2024","14-Apr-2024","21-Apr-2024","28-Apr-2024","5-May-2024","12-May-2024","19-May-2024","26-May-2024","2-Jun-2024","9-Jun-2024","16-Jun-2024","23-Jun-2024","30-Jun-2024","7-Jul-2024","14-Jul-2024","21-Jul-2024","28-Jul-2024","4-Aug-2024","11-Aug-2024","18-Aug-2024","25-Aug-2024","1-Sep-2024","8-Sep-2024","15-Sep-2024","22-Sep-2024","29-Sep-2024","6-Oct-2024","13-Oct-2024","20-Oct-2024","27-Oct-2024","3-Nov-2024","10-Nov-2024","17-Nov-2024","24-Nov-2024","1-Dec-2024","8-Dec-2024","15-Dec-2024","22-Dec-2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DK","Total Boxes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","123","129","98","206","233","363","380","455","554","584","523","481","688","655","675","709","868","934","913","896","965","1,243","1,264","1,251","1312","1440","1256","1395","1312","1452","1568","1434","1363","1312","1384","1138","573","773","1230","1712","1580","1544","1535","1627","1634","1661","1639","1779","1620","1590","1391","1561","1268","1285","1380","1523","1523","1439","1390","1493","1594","1502","1407","1277","1382","1244","1137","1209","1404","1540","1571","1665","1681","1904","1903","1942","2136","2268","2103","2166","2081","2171","2247","2172","2013","1909","1887"
"","","Box B (Small)","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","111","94","65","114","124","202","198","232","270","312","278","260","387","370","383","384","444","501","503","499","553","693","702","702","758","787","713","817","738","808","869","815","787","735","790","667","332","441","723","918","866","877","838","877","908","953","909","1021","944","923","839","932","741","770","831","909","902","866","845","914","951","923","868","782","836","754","690","752","853","918","935","991","1030","1193","1208","1243","1339","1401","1322","1375","1327","1369","1410","1414","1346","1274","1255"
"","","Box F (Medium)","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","14","36","33","82","101","140","162","205","246","244","223","192","268","252","256","289","369","390","365","357","370","496","519","497","502","592","493","528","519","577","623","549","526","529","545","417","216","302","462","719","643","603","633","689","670","641","667","694","624","625","507","570","478","473","517","567","573","520","497","499","573","502","470","427","462","407","378","388","462","518","523","564","547","597","591","586","670","696","641","652","638","674","689","623","565","536","523"
"","","Box G (Large)","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","3","11","10","24","22","20","40","31","25","31","34","34","37","38","56","44","46","40","42","55","45","55","55","62","52","53","57","69","78","71","51","49","50","55","25","32","47","78","73","66","65","62","59","67","64","65","53","45","47","60","50","44","33","50","50","53","50","82","71","78","69","70","86","84","71","70","90","106","115","112","106","116","105","115","128","172","142","140","118","129","149","137","104","101","110"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.00%","78.00%","53.20%","25.19%","15.48%","18.18%","17.05%","17.28%","14.11%","13.13%","13.69%","14.44%","14.02%","15.06%","15.70%","13.24%","12.53%","14.90%","14.20%","15.72%","16.09%","15.10%","17.44%","17.66%","17.94%","17.99%","17.42%","17.60%","17.94%","19.05%","19.34%","20.19%","21.16%","20.43%","23.40%","21.64%","23.97%","17.67%","21.51%","18.03%","18.29%","19.45%","18.76%","19.88%","19.80%","19.57%","18.55%","19.18%","22.05%","21.21%","20.78%","19.79%","20.69%","20.73%","22.75%","21.46%","20.42%","21.77%","19.91%","19.67%","18.29%","19.56%","20.48%","19.51%","20.82%","21.33%","19.84%","20.51%","20.38%","19.48%","18.85%","19.14%","19.76%","20.33%","22.22%","21.73%","21.41%","21.35%","23.24%","22.33%","22.45%","22.73%","22.92%","23.56%","21.98%","22.73%","24.19%"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.00%","12.00%","19.08%","18.52%","17.86%","21.66%","19.38%","18.20%","19.37%","16.93%","19.07%","18.41%","15.70%","16.91%","18.35%","20.10%","20.93%","20.25%","20.54%","20.65%","20.84%","20.16%","21.34%","21.11%","21.68%","20.94%","22.67%","21.46%","21.67%","19.79%","21.46%","21.63%","21.10%","21.96%","20.30%","22.15%","18.15%","21.70%","21.98%","20.22%","20.64%","21.07%","20.61%","20.79%","21.86%","20.56%","21.62%","22.84%","21.70%","23.06%","21.35%","20.14%","22.76%","22.28%","21.38%","20.84%","20.21%","21.84%","22.47%","24.11%","22.64%","22.47%","24.25%","23.64%","22.56%","23.15%","25.60%","23.97%","24.17%","24.16%","23.05%","23.43%","24.34%","25.10%","22.67%","24.28%","25.66%","26.07%","24.87%","26.00%","25.87%","24.00%","24.87%","25.73%","25.76%","26.81%","26.90%"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.00%","9.00%","23.33%","31.11%","39.29%","31.82%","33.07%","35.71%","35.16%","44.39%","35.94%","37.03%","39.44%","36.80%","34.05%","36.93%","37.20%","36.71%","36.25%","35.12%","35.28%","36.13%","34.47%","35.78%","34.00%","34.15%","35.13%","35.48%","34.80%","34.28%","35.95%","34.29%","33.78%","31.76%","31.78%","30.75%","32.19%","34.96%","31.24%","33.31%","34.84%","34.11%","36.09%","32.81%","33.23%","33.81%","34.17%","32.24%","32.55%","32.00%","32.41%","35.07%","31.98%","33.25%","32.47%","33.38%","32.56%","29.33%","28.54%","24.58%","24.20%","23.57%","22.22%","20.73%","21.13%","19.76%","20.64%","20.37%","22.04%","20.44%","19.54%","19.14%","17.94%","17.19%","17.03%","18.39%","17.23%","16.70%","17.12%","17.63%","18.43%","19.49%","17.53%","17.47%","18.63%","16.96%","17.05%"
