"HF Week","W46","W47","W48","W49","W50","W51","W52","W01","W02","W03","W04","W05","W06","W07","W08","W09","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21","W22","W23","W24","W25","W26","W27","W28","W29","W30","W31","W32","W33","W34","W35","W36","W37","W38","W39","W40","W41","W42","W43","W44","W45","W46","W47","W48","W49","W50","W51","W52"
"Order Cutoff Date (Weds 23:59)","6-Nov-2024","13-Nov-2024","20-Nov-2024","27-Nov-2024","4-Dec-2024","11-Dec-2024","18-Dec-2024","22-Dec-2024","29-Dec-2024","8-Jan-2025","15-Jan-2025","22-Jan-2025","29-Jan-2025","5-Feb-2025","12-Feb-2025","19-Feb-2025","26-Feb-2025","5-Mar-2025","12-Mar-2025","19-Mar-2025","26-Mar-2025","2-Apr-2025","9-Apr-2025","16-Apr-2025","23-Apr-2025","30-Apr-2025","7-May-2025","14-May-2025","21-May-2025","28-May-2025","4-Jun-2025","11-Jun-2025","18-Jun-2025","25-Jun-2025","2-Jul-2025","9-Jul-2025","16-Jul-2025","23-Jul-2025","30-Jul-2025","6-Aug-2025","13-Aug-2025","20-Aug-2025","27-Aug-2025","3-Sep-2025","10-Sep-2025","17-Sep-2025","24-Sep-2025","1-Oct-2025","8-Oct-2025","15-Oct-2025","22-Oct-2025","29-Oct-2025","5-Nov-2025","12-Nov-2025","19-Nov-2025","26-Nov-2025","3-Dec-2025","10-Dec-2025","17-Dec-2025"
"First Delivery Day (Sunday)","10-Nov-2024","17-Nov-2024","24-Nov-2024","1-Dec-2024","8-Dec-2024","15-Dec-2024","22-Dec-2024","29-Dec-2024","5-Jan-2025","12-Jan-2025","19-Jan-2025","26-Jan-2025","2-Feb-2025","9-Feb-2025","16-Feb-2025","23-Feb-2025","2-Mar-2025","9-Mar-2025","16-Mar-2025","23-Mar-2025","30-Mar-2025","6-Apr-2025","13-Apr-2025","20-Apr-2025","27-Apr-2025","4-May-2025","11-May-2025","18-May-2025","25-May-2025","1-Jun-2025","8-Jun-2025","15-Jun-2025","22-Jun-2025","29-Jun-2025","6-Jul-2025","13-Jul-2025","20-Jul-2025","27-Jul-2025","3-Aug-2025","10-Aug-2025","17-Aug-2025","24-Aug-2025","31-Aug-2025","7-Sep-2025","14-Sep-2025","21-Sep-2025","28-Sep-2025","5-Oct-2025","12-Oct-2025","19-Oct-2025","26-Oct-2025","2-Nov-2025","9-Nov-2025","16-Nov-2025","23-Nov-2025","30-Nov-2025","7-Dec-2025","14-Dec-2025","21-Dec-2025"
"NL Orders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BE Orders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SE Orders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DK Orders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DE Orders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total Orders","11,219","10,480","10,667","10,002","9,401","8,543","4,810","8,922","11,514","12,017","12,290","12,568","12,676","12,738","12,910","12,187","12,467","11,838","11,591","10,812","11,434","10,170","9,396","9,860","10,394","10,600","10,360","9,918","10,199","10,235","10,269","9,812","9,960","10,074","9,565","9,152","9,298","9,857","9,924","10,357","10,711","11,471","12,320","12,612","12,811","13,438","13,656","13,466","13,399","13,258","14,035","14,070","13,604","12,963","12,982","12,368","11,048","6,776","7,137"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Add Ons Orders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
