"Buffers:","Buffer defaults BNL","(mutiply by)","1.006","Buffer NOR","(add)","12","","","","","","","","","","",""
"","Buffer others BNL","(add)","12","Buffer DE","(add)","12","","","","","","","","","","",""
"Week number:","W19","W19","","","","","","","","","","","","","","",""
"PASTE FROM D4 OUTPUT >>","","","","","","","COUNT WITH BUFFER","","","","","","","","","IMPORTS FROM MENU DATABASE",""
"Slot BNL","Slot NOR","Slot GER","Week","Count BNL","Count NOR","Count GER","BNL Count w/ buffer","NOR Count w/ buffer","DE Count w/ buffer","Convini DE Demand","Marketing Demand","Marketing Demand BNL","Marketing Demand NOR","Marketing Demand DE","Total Count w/ buffer","Recipe Code","Recipe Name"
"401","451","301","W01x","2,160","892","405","2,173","904","417","","","","","","3,494","#REF!","#REF!"
"402","452","302","W01x","1,621","620","258","1,631","632","270","","","","","","2,533","#REF!","#REF!"
"403","453","303","W01x","1,804","726","328","1,815","738","340","","","","","","2,893","#REF!","#REF!"
"404","454","304","W01x","1,758","768","351","1,769","780","363","","","","","","2,912","#REF!","#REF!"
"405","455","305","W01x","1,420","656","321","1,429","668","333","","","","","","2,430","#REF!","#REF!"
"406","456","306","W01x","1,120","454","238","1,127","466","250","","","","","","1,843","#REF!","#REF!"
"407","457","307","W01x","870","621","193","875","633","205","","","","","","1,713","#REF!","#REF!"
"408","458","308","W01x","1,286","853","241","1,294","865","253","","","","","","2,412","#REF!","#REF!"
"409","459","309","W01x","321","202","78","333","214","90","","","","","","637","#REF!","#REF!"
"410","460","310","W01x","258","220","56","270","232","68","","","","","","570","#REF!","#REF!"
"411","461","311","W01x","753","634","140","765","646","152","","","","","","1,563","#REF!","#REF!"
"412","462","312","W01x","976","835","195","988","847","207","","","","","","2,042","#REF!","#REF!"
"413","463","313","W01x","787","448","126","799","460","138","","","","","","1,397","#REF!","#REF!"
"414","464","314","W01x","407","288","82","419","300","94","","","","","","813","#REF!","#REF!"
"415","465","315","W01x","495","243","112","507","255","124","","","","","","886","#REF!","#REF!"
"416","466","316","W01x","310","189","72","322","201","84","","","","","","607","#REF!","#REF!"
"417","467","317","W01x","328","217","76","340","229","88","","","","","","657","#REF!","#REF!"
"418","468","318","W01x","343","176","48","355","188","60","","","","","","603","#REF!","#REF!"
"506","556","806","W01x","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","#N/A","#REF!","#REF!"
"401","451","301","W02x","4,591","2,481","1,060","4,619","2,493","1,072","","","","","","8,184","#REF!","#REF!"
"402","452","302","W02x","3,372","1,794","770","3,392","1,806","782","","","","","","5,980","#REF!","#REF!"
"403","453","303","W02x","3,957","1,908","977","3,981","1,920","989","","","","","","6,890","#REF!","#REF!"
"404","454","304","W02x","4,232","2,272","1,008","4,257","2,284","1,020","","","","","","7,561","#REF!","#REF!"
"405","455","305","W02x","3,417","2,031","959","3,438","2,043","971","","","","","","6,452","#REF!","#REF!"
"406","456","306","W02x","2,727","1,394","793","2,743","1,406","805","","","","","","4,954","#REF!","#REF!"
"407","457","307","W02x","1,961","1,077","489","1,973","1,089","501","","","","","","3,563","#REF!","#REF!"
"408","458","308","W02x","1,991","1,089","620","2,003","1,101","632","","","","","","3,736","#REF!","#REF!"
"409","459","309","W02x","689","266","168","701","278","180","","","","","","1,159","#REF!","#REF!"
"410","460","310","W02x","614","282","215","626","294","227","","","","","","1,147","#REF!","#REF!"
"411","461","311","W02x","565","297","204","577","309","216","","","","","","1,102","#REF!","#REF!"
